"icd_10_pcs","description"
"0TPB3LZ","Removal of Artificial Sphincter from Bladder, Percutaneous Approach"
"0TPB3MZ","Removal of Stimulator Lead from Bladder, Percutaneous Approach"
"0TPB40Z","Removal of Drainage Device from Bladder, Percutaneous Endoscopic Approach"
"0TPB42Z","Removal of Monitoring Device from Bladder, Percutaneous Endoscopic Approach"
"0TPB43Z","Removal of Infusion Device from Bladder, Percutaneous Endoscopic Approach"
"0TPB47Z","Removal of Autologous Tissue Substitute from Bladder, Percutaneous Endoscopic Approach"
"0TPB4CZ","Removal of Extraluminal Device from Bladder, Percutaneous Endoscopic Approach"
"0TPB4DZ","Removal of Intraluminal Device from Bladder, Percutaneous Endoscopic Approach"
"0TPB4JZ","Removal of Synthetic Substitute from Bladder, Percutaneous Endoscopic Approach"
"0TPB4KZ","Removal of Nonautologous Tissue Substitute from Bladder, Percutaneous Endoscopic Approach"
"0TPB4LZ","Removal of Artificial Sphincter from Bladder, Percutaneous Endoscopic Approach"
"0TPB4MZ","Removal of Stimulator Lead from Bladder, Percutaneous Endoscopic Approach"
"0TPB77Z","Removal of Autologous Tissue Substitute from Bladder, Via Natural or Artificial Opening"
"0TPB7CZ","Removal of Extraluminal Device from Bladder, Via Natural or Artificial Opening"
"0TPB7JZ","Removal of Synthetic Substitute from Bladder, Via Natural or Artificial Opening"
"0TPB7KZ","Removal of Nonautologous Tissue Substitute from Bladder, Via Natural or Artificial Opening"
"0TPB7LZ","Removal of Artificial Sphincter from Bladder, Via Natural or Artificial Opening"
"0TPB7MZ","Removal of Stimulator Lead from Bladder, Via Natural or Artificial Opening"
"0TPB87Z","Removal of Autologous Tissue Substitute from Bladder, Via Natural or Artificial Opening Endoscopic"
"0TPB8CZ","Removal of Extraluminal Device from Bladder, Via Natural or Artificial Opening Endoscopic"
"0TPB8JZ","Removal of Synthetic Substitute from Bladder, Via Natural or Artificial Opening Endoscopic"
"0TPB8KZ","Removal of Nonautologous Tissue Substitute from Bladder, Via Natural or Artificial Opening Endoscopic"
"0TPB8LZ","Removal of Artificial Sphincter from Bladder, Via Natural or Artificial Opening Endoscopic"
"0TPB8MZ","Removal of Stimulator Lead from Bladder, Via Natural or Artificial Opening Endoscopic"
"0TPB8YZ","Removal of Other Device from Bladder, Via Natural or Artificial Opening Endoscopic"
"0TPBXMZ","Removal of Stimulator Lead from Bladder, External Approach"
"0TPD0YZ","Removal of Other Device from Urethra, Open Approach"
"0TQ00ZZ","Repair Right Kidney, Open Approach"
"0TQ03ZZ","Repair Right Kidney, Percutaneous Approach"
"0TQ04ZZ","Repair Right Kidney, Percutaneous Endoscopic Approach"
"0TQ07ZZ","Repair Right Kidney, Via Natural or Artificial Opening"
"0TQ08ZZ","Repair Right Kidney, Via Natural or Artificial Opening Endoscopic"
"0TQ10ZZ","Repair Left Kidney, Open Approach"
"0TQ13ZZ","Repair Left Kidney, Percutaneous Approach"
"0TQ14ZZ","Repair Left Kidney, Percutaneous Endoscopic Approach"
"0TQ17ZZ","Repair Left Kidney, Via Natural or Artificial Opening"
"0TQ18ZZ","Repair Left Kidney, Via Natural or Artificial Opening Endoscopic"
"0TQ30ZZ","Repair Right Kidney Pelvis, Open Approach"
"0TQ33ZZ","Repair Right Kidney Pelvis, Percutaneous Approach"
"0TQ34ZZ","Repair Right Kidney Pelvis, Percutaneous Endoscopic Approach"
"0TQ37ZZ","Repair Right Kidney Pelvis, Via Natural or Artificial Opening"
"0TQ38ZZ","Repair Right Kidney Pelvis, Via Natural or Artificial Opening Endoscopic"
"0TQ40ZZ","Repair Left Kidney Pelvis, Open Approach"
"0TQ43ZZ","Repair Left Kidney Pelvis, Percutaneous Approach"
"0TQ44ZZ","Repair Left Kidney Pelvis, Percutaneous Endoscopic Approach"
"0TQ47ZZ","Repair Left Kidney Pelvis, Via Natural or Artificial Opening"
"0TQ48ZZ","Repair Left Kidney Pelvis, Via Natural or Artificial Opening Endoscopic"
"0TQ60ZZ","Repair Right Ureter, Open Approach"
"0TQ63ZZ","Repair Right Ureter, Percutaneous Approach"
"0TQ64ZZ","Repair Right Ureter, Percutaneous Endoscopic Approach"
"0TQ67ZZ","Repair Right Ureter, Via Natural or Artificial Opening"
"0TQ68ZZ","Repair Right Ureter, Via Natural or Artificial Opening Endoscopic"
"0TQ70ZZ","Repair Left Ureter, Open Approach"
"0TQ73ZZ","Repair Left Ureter, Percutaneous Approach"
"0TQ74ZZ","Repair Left Ureter, Percutaneous Endoscopic Approach"
"0TQ77ZZ","Repair Left Ureter, Via Natural or Artificial Opening"
"0TQ78ZZ","Repair Left Ureter, Via Natural or Artificial Opening Endoscopic"
"0TQB0ZZ","Repair Bladder, Open Approach"
"0TQB3ZZ","Repair Bladder, Percutaneous Approach"
"0TQB4ZZ","Repair Bladder, Percutaneous Endoscopic Approach"
"0TQB7ZZ","Repair Bladder, Via Natural or Artificial Opening"
"0TQB8ZZ","Repair Bladder, Via Natural or Artificial Opening Endoscopic"
"0TQC0ZZ","Repair Bladder Neck, Open Approach"
"0TQC3ZZ","Repair Bladder Neck, Percutaneous Approach"
"0TQC4ZZ","Repair Bladder Neck, Percutaneous Endoscopic Approach"
"0TQC7ZZ","Repair Bladder Neck, Via Natural or Artificial Opening"
"0TQC8ZZ","Repair Bladder Neck, Via Natural or Artificial Opening Endoscopic"
"0TR307Z","Replacement of Right Kidney Pelvis with Autologous Tissue Substitute, Open Approach"
"0TR30JZ","Replacement of Right Kidney Pelvis with Synthetic Substitute, Open Approach"
"0TR30KZ","Replacement of Right Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach"
"0TR347Z","Replacement of Right Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TR34JZ","Replacement of Right Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0TR34KZ","Replacement of Right Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TR377Z","Replacement of Right Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening"
"0TR37JZ","Replacement of Right Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening"
"0TR37KZ","Replacement of Right Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
"0TR387Z","Replacement of Right Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TR38JZ","Replacement of Right Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
"0TR38KZ","Replacement of Right Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TR407Z","Replacement of Left Kidney Pelvis with Autologous Tissue Substitute, Open Approach"
"0TR40JZ","Replacement of Left Kidney Pelvis with Synthetic Substitute, Open Approach"
"0TR40KZ","Replacement of Left Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach"
"0TR447Z","Replacement of Left Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TR44JZ","Replacement of Left Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0TR44KZ","Replacement of Left Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TR477Z","Replacement of Left Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening"
"0TR47JZ","Replacement of Left Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening"
"0TR47KZ","Replacement of Left Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
"0TR487Z","Replacement of Left Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TR48JZ","Replacement of Left Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
"0TR48KZ","Replacement of Left Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TR607Z","Replacement of Right Ureter with Autologous Tissue Substitute, Open Approach"
"0TR60JZ","Replacement of Right Ureter with Synthetic Substitute, Open Approach"
"0TR60KZ","Replacement of Right Ureter with Nonautologous Tissue Substitute, Open Approach"
"0TR647Z","Replacement of Right Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TR64JZ","Replacement of Right Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0TR64KZ","Replacement of Right Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TR677Z","Replacement of Right Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening"
"0TR67JZ","Replacement of Right Ureter with Synthetic Substitute, Via Natural or Artificial Opening"
"0TR67KZ","Replacement of Right Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
"0TR687Z","Replacement of Right Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TR68JZ","Replacement of Right Ureter with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
"0TR68KZ","Replacement of Right Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TR707Z","Replacement of Left Ureter with Autologous Tissue Substitute, Open Approach"
"0TR70JZ","Replacement of Left Ureter with Synthetic Substitute, Open Approach"
"0TR70KZ","Replacement of Left Ureter with Nonautologous Tissue Substitute, Open Approach"
"0TR747Z","Replacement of Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TR74JZ","Replacement of Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0TR74KZ","Replacement of Left Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TR777Z","Replacement of Left Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening"
"0TR77JZ","Replacement of Left Ureter with Synthetic Substitute, Via Natural or Artificial Opening"
"0TR77KZ","Replacement of Left Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
"0TR787Z","Replacement of Left Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TR78JZ","Replacement of Left Ureter with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
"0TR78KZ","Replacement of Left Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TRB07Z","Replacement of Bladder with Autologous Tissue Substitute, Open Approach"
"0TRB0JZ","Replacement of Bladder with Synthetic Substitute, Open Approach"
"0TRB0KZ","Replacement of Bladder with Nonautologous Tissue Substitute, Open Approach"
"0TRB47Z","Replacement of Bladder with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TRB4JZ","Replacement of Bladder with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0TRB4KZ","Replacement of Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TRB77Z","Replacement of Bladder with Autologous Tissue Substitute, Via Natural or Artificial Opening"
"0TRB7JZ","Replacement of Bladder with Synthetic Substitute, Via Natural or Artificial Opening"
"0TRB7KZ","Replacement of Bladder with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
"0TRB87Z","Replacement of Bladder with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TRB8JZ","Replacement of Bladder with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
"0TRB8KZ","Replacement of Bladder with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TRC07Z","Replacement of Bladder Neck with Autologous Tissue Substitute, Open Approach"
"0TRC0JZ","Replacement of Bladder Neck with Synthetic Substitute, Open Approach"
"0TRC0KZ","Replacement of Bladder Neck with Nonautologous Tissue Substitute, Open Approach"
"0TRC47Z","Replacement of Bladder Neck with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TRC4JZ","Replacement of Bladder Neck with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0TRC4KZ","Replacement of Bladder Neck with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TRC77Z","Replacement of Bladder Neck with Autologous Tissue Substitute, Via Natural or Artificial Opening"
"0TRC7JZ","Replacement of Bladder Neck with Synthetic Substitute, Via Natural or Artificial Opening"
"0TRC7KZ","Replacement of Bladder Neck with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
"0TRC87Z","Replacement of Bladder Neck with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TRC8JZ","Replacement of Bladder Neck with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
"0TRC8KZ","Replacement of Bladder Neck with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TS00ZZ","Reposition Right Kidney, Open Approach"
"0TS04ZZ","Reposition Right Kidney, Percutaneous Endoscopic Approach"
"0TS10ZZ","Reposition Left Kidney, Open Approach"
"0TS14ZZ","Reposition Left Kidney, Percutaneous Endoscopic Approach"
"0TS20ZZ","Reposition Bilateral Kidneys, Open Approach"
"0TS24ZZ","Reposition Bilateral Kidneys, Percutaneous Endoscopic Approach"
"0TS30ZZ","Reposition Right Kidney Pelvis, Open Approach"
"0TS34ZZ","Reposition Right Kidney Pelvis, Percutaneous Endoscopic Approach"
"0TS40ZZ","Reposition Left Kidney Pelvis, Open Approach"
"0TS44ZZ","Reposition Left Kidney Pelvis, Percutaneous Endoscopic Approach"
"0TS60ZZ","Reposition Right Ureter, Open Approach"
"0TS64ZZ","Reposition Right Ureter, Percutaneous Endoscopic Approach"
"0TS70ZZ","Reposition Left Ureter, Open Approach"
"0TS74ZZ","Reposition Left Ureter, Percutaneous Endoscopic Approach"
"0TS80ZZ","Reposition Bilateral Ureters, Open Approach"
"0TS84ZZ","Reposition Bilateral Ureters, Percutaneous Endoscopic Approach"
"0TSB0ZZ","Reposition Bladder, Open Approach"
"0TSB4ZZ","Reposition Bladder, Percutaneous Endoscopic Approach"
"0TSC0ZZ","Reposition Bladder Neck, Open Approach"
"0TSC4ZZ","Reposition Bladder Neck, Percutaneous Endoscopic Approach"
"0TT60ZZ","Resection of Right Ureter, Open Approach"
"0TT64ZZ","Resection of Right Ureter, Percutaneous Endoscopic Approach"
"0TT67ZZ","Resection of Right Ureter, Via Natural or Artificial Opening"
"0TT68ZZ","Resection of Right Ureter, Via Natural or Artificial Opening Endoscopic"
"0TT70ZZ","Resection of Left Ureter, Open Approach"
"0TT74ZZ","Resection of Left Ureter, Percutaneous Endoscopic Approach"
"0TT77ZZ","Resection of Left Ureter, Via Natural or Artificial Opening"
"0TT78ZZ","Resection of Left Ureter, Via Natural or Artificial Opening Endoscopic"
"0TTB0ZZ","Resection of Bladder, Open Approach"
"0TTB4ZZ","Resection of Bladder, Percutaneous Endoscopic Approach"
"0TTB7ZZ","Resection of Bladder, Via Natural or Artificial Opening"
"0TTB8ZZ","Resection of Bladder, Via Natural or Artificial Opening Endoscopic"
"0TTC0ZZ","Resection of Bladder Neck, Open Approach"
"0TTC4ZZ","Resection of Bladder Neck, Percutaneous Endoscopic Approach"
"0TTC7ZZ","Resection of Bladder Neck, Via Natural or Artificial Opening"
"0TTC8ZZ","Resection of Bladder Neck, Via Natural or Artificial Opening Endoscopic"
"0TU307Z","Supplement Right Kidney Pelvis with Autologous Tissue Substitute, Open Approach"
"0TU30JZ","Supplement Right Kidney Pelvis with Synthetic Substitute, Open Approach"
"0TU30KZ","Supplement Right Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach"
"0TU347Z","Supplement Right Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TU34JZ","Supplement Right Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0TU34KZ","Supplement Right Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TU377Z","Supplement Right Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening"
"0TU37JZ","Supplement Right Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening"
"0TU37KZ","Supplement Right Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
"0TU387Z","Supplement Right Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TU38JZ","Supplement Right Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
"0TU38KZ","Supplement Right Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TU407Z","Supplement Left Kidney Pelvis with Autologous Tissue Substitute, Open Approach"
"0TU40JZ","Supplement Left Kidney Pelvis with Synthetic Substitute, Open Approach"
"0TU40KZ","Supplement Left Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach"
"0TU447Z","Supplement Left Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TU44JZ","Supplement Left Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0TU44KZ","Supplement Left Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TU477Z","Supplement Left Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening"
"0TU47JZ","Supplement Left Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening"
"0TU47KZ","Supplement Left Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
"0TU487Z","Supplement Left Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TU48JZ","Supplement Left Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
"0TU48KZ","Supplement Left Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TU607Z","Supplement Right Ureter with Autologous Tissue Substitute, Open Approach"
"0TU60JZ","Supplement Right Ureter with Synthetic Substitute, Open Approach"
"0TU60KZ","Supplement Right Ureter with Nonautologous Tissue Substitute, Open Approach"
"0TU647Z","Supplement Right Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TU64JZ","Supplement Right Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0TU64KZ","Supplement Right Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TU677Z","Supplement Right Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening"
"0TU67JZ","Supplement Right Ureter with Synthetic Substitute, Via Natural or Artificial Opening"
"0TU67KZ","Supplement Right Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
"0TU687Z","Supplement Right Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TU68JZ","Supplement Right Ureter with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
"0TU68KZ","Supplement Right Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TU707Z","Supplement Left Ureter with Autologous Tissue Substitute, Open Approach"
"0TU70JZ","Supplement Left Ureter with Synthetic Substitute, Open Approach"
"0TU70KZ","Supplement Left Ureter with Nonautologous Tissue Substitute, Open Approach"
"0TU747Z","Supplement Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TU74JZ","Supplement Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0TU74KZ","Supplement Left Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TU777Z","Supplement Left Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening"
"0TU77JZ","Supplement Left Ureter with Synthetic Substitute, Via Natural or Artificial Opening"
"0TU77KZ","Supplement Left Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
"0TU787Z","Supplement Left Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TU78JZ","Supplement Left Ureter with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
"0TU78KZ","Supplement Left Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TUB07Z","Supplement Bladder with Autologous Tissue Substitute, Open Approach"
"0TUB0JZ","Supplement Bladder with Synthetic Substitute, Open Approach"
"0TUB0KZ","Supplement Bladder with Nonautologous Tissue Substitute, Open Approach"
"0TUB47Z","Supplement Bladder with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TUB4JZ","Supplement Bladder with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0TUB4KZ","Supplement Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0TUB77Z","Supplement Bladder with Autologous Tissue Substitute, Via Natural or Artificial Opening"
"0TUB7JZ","Supplement Bladder with Synthetic Substitute, Via Natural or Artificial Opening"
"0TUB7KZ","Supplement Bladder with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
"0TUB87Z","Supplement Bladder with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TUB8JZ","Supplement Bladder with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
"0TUB8KZ","Supplement Bladder with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
"0TV30CZ","Restriction of Right Kidney Pelvis with Extraluminal Device, Open Approach"
"0TV30DZ","Restriction of Right Kidney Pelvis with Intraluminal Device, Open Approach"
"0TV30ZZ","Restriction of Right Kidney Pelvis, Open Approach"
"0TV33CZ","Restriction of Right Kidney Pelvis with Extraluminal Device, Percutaneous Approach"
"0TV33DZ","Restriction of Right Kidney Pelvis with Intraluminal Device, Percutaneous Approach"
"0TV33ZZ","Restriction of Right Kidney Pelvis, Percutaneous Approach"
"0TV34CZ","Restriction of Right Kidney Pelvis with Extraluminal Device, Percutaneous Endoscopic Approach"
"0TV34DZ","Restriction of Right Kidney Pelvis with Intraluminal Device, Percutaneous Endoscopic Approach"
"0TV34ZZ","Restriction of Right Kidney Pelvis, Percutaneous Endoscopic Approach"
"0TV37DZ","Restriction of Right Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening"
"0TV37ZZ","Restriction of Right Kidney Pelvis, Via Natural or Artificial Opening"
"0TV38DZ","Restriction of Right Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
"0TV38ZZ","Restriction of Right Kidney Pelvis, Via Natural or Artificial Opening Endoscopic"
"0TV40CZ","Restriction of Left Kidney Pelvis with Extraluminal Device, Open Approach"
"0TV40DZ","Restriction of Left Kidney Pelvis with Intraluminal Device, Open Approach"
"0TV40ZZ","Restriction of Left Kidney Pelvis, Open Approach"
"0TV43CZ","Restriction of Left Kidney Pelvis with Extraluminal Device, Percutaneous Approach"
"0TV43DZ","Restriction of Left Kidney Pelvis with Intraluminal Device, Percutaneous Approach"
"0TV43ZZ","Restriction of Left Kidney Pelvis, Percutaneous Approach"
"0TV44CZ","Restriction of Left Kidney Pelvis with Extraluminal Device, Percutaneous Endoscopic Approach"
"0TV44DZ","Restriction of Left Kidney Pelvis with Intraluminal Device, Percutaneous Endoscopic Approach"
"0TV44ZZ","Restriction of Left Kidney Pelvis, Percutaneous Endoscopic Approach"
"0TV47DZ","Restriction of Left Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening"
"0TV47ZZ","Restriction of Left Kidney Pelvis, Via Natural or Artificial Opening"
"0TV48DZ","Restriction of Left Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
"0TV48ZZ","Restriction of Left Kidney Pelvis, Via Natural or Artificial Opening Endoscopic"
"0TV60CZ","Restriction of Right Ureter with Extraluminal Device, Open Approach"
"0TV60DZ","Restriction of Right Ureter with Intraluminal Device, Open Approach"
"0TV60ZZ","Restriction of Right Ureter, Open Approach"
"0TV63CZ","Restriction of Right Ureter with Extraluminal Device, Percutaneous Approach"
"0TV63DZ","Restriction of Right Ureter with Intraluminal Device, Percutaneous Approach"
"0TV63ZZ","Restriction of Right Ureter, Percutaneous Approach"
"0TV64CZ","Restriction of Right Ureter with Extraluminal Device, Percutaneous Endoscopic Approach"
"0TV64DZ","Restriction of Right Ureter with Intraluminal Device, Percutaneous Endoscopic Approach"
"0TV64ZZ","Restriction of Right Ureter, Percutaneous Endoscopic Approach"
"0TV67DZ","Restriction of Right Ureter with Intraluminal Device, Via Natural or Artificial Opening"
"0TV67ZZ","Restriction of Right Ureter, Via Natural or Artificial Opening"
"0TV68DZ","Restriction of Right Ureter with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
"0TV68ZZ","Restriction of Right Ureter, Via Natural or Artificial Opening Endoscopic"
"0TV70CZ","Restriction of Left Ureter with Extraluminal Device, Open Approach"
"0TV70DZ","Restriction of Left Ureter with Intraluminal Device, Open Approach"
"0TV70ZZ","Restriction of Left Ureter, Open Approach"
"0TV73CZ","Restriction of Left Ureter with Extraluminal Device, Percutaneous Approach"
"0TV73DZ","Restriction of Left Ureter with Intraluminal Device, Percutaneous Approach"
"0TV73ZZ","Restriction of Left Ureter, Percutaneous Approach"
"0TV74CZ","Restriction of Left Ureter with Extraluminal Device, Percutaneous Endoscopic Approach"
"0TV74DZ","Restriction of Left Ureter with Intraluminal Device, Percutaneous Endoscopic Approach"
"0TV74ZZ","Restriction of Left Ureter, Percutaneous Endoscopic Approach"
"0TV77DZ","Restriction of Left Ureter with Intraluminal Device, Via Natural or Artificial Opening"
"0TV77ZZ","Restriction of Left Ureter, Via Natural or Artificial Opening"
"0TV78DZ","Restriction of Left Ureter with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
"0TV78ZZ","Restriction of Left Ureter, Via Natural or Artificial Opening Endoscopic"
"0TVB0CZ","Restriction of Bladder with Extraluminal Device, Open Approach"
"0TVB0DZ","Restriction of Bladder with Intraluminal Device, Open Approach"
"0TVB0ZZ","Restriction of Bladder, Open Approach"
"0TVB3CZ","Restriction of Bladder with Extraluminal Device, Percutaneous Approach"
"0TVB3DZ","Restriction of Bladder with Intraluminal Device, Percutaneous Approach"
"0TVB3ZZ","Restriction of Bladder, Percutaneous Approach"
"0TVB4CZ","Restriction of Bladder with Extraluminal Device, Percutaneous Endoscopic Approach"
"0TVB4DZ","Restriction of Bladder with Intraluminal Device, Percutaneous Endoscopic Approach"
"0TVB4ZZ","Restriction of Bladder, Percutaneous Endoscopic Approach"
"0TVB7DZ","Restriction of Bladder with Intraluminal Device, Via Natural or Artificial Opening"
"0TVB7ZZ","Restriction of Bladder, Via Natural or Artificial Opening"
"0TVB8DZ","Restriction of Bladder with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
"0TVB8ZZ","Restriction of Bladder, Via Natural or Artificial Opening Endoscopic"
"0TVC0CZ","Restriction of Bladder Neck with Extraluminal Device, Open Approach"
"0TVC0DZ","Restriction of Bladder Neck with Intraluminal Device, Open Approach"
"0TVC0ZZ","Restriction of Bladder Neck, Open Approach"
"0TVC3CZ","Restriction of Bladder Neck with Extraluminal Device, Percutaneous Approach"
"0TVC3DZ","Restriction of Bladder Neck with Intraluminal Device, Percutaneous Approach"
"0TVC3ZZ","Restriction of Bladder Neck, Percutaneous Approach"
"0TVC4CZ","Restriction of Bladder Neck with Extraluminal Device, Percutaneous Endoscopic Approach"
"0TVC4DZ","Restriction of Bladder Neck with Intraluminal Device, Percutaneous Endoscopic Approach"
"0TVC4ZZ","Restriction of Bladder Neck, Percutaneous Endoscopic Approach"
"0TVC7DZ","Restriction of Bladder Neck with Intraluminal Device, Via Natural or Artificial Opening"
"0TVC7ZZ","Restriction of Bladder Neck, Via Natural or Artificial Opening"
"0TVC8DZ","Restriction of Bladder Neck with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
"0TVC8ZZ","Restriction of Bladder Neck, Via Natural or Artificial Opening Endoscopic"
"0TW500Z","Revision of Drainage Device in Kidney, Open Approach"
"0TW502Z","Revision of Monitoring Device in Kidney, Open Approach"
"0TW503Z","Revision of Infusion Device in Kidney, Open Approach"
"0TW507Z","Revision of Autologous Tissue Substitute in Kidney, Open Approach"
"0TW50CZ","Revision of Extraluminal Device in Kidney, Open Approach"
