"icd_10_cm","description"
"T25019A","Burn of unspecified degree of unspecified ankle, initial encounter"
"T25021A","Burn of unspecified degree of right foot, initial encounter"
"T25022A","Burn of unspecified degree of left foot, initial encounter"
"T25029A","Burn of unspecified degree of unspecified foot, initial encounter"
"T25031A","Burn of unspecified degree of right toe(s) (nail), initial encounter"
"T25032A","Burn of unspecified degree of left toe(s) (nail), initial encounter"
"T25039A","Burn of unspecified degree of unspecified toe(s) (nail), initial encounter"
"T25091A","Burn of unspecified degree of multiple sites of right ankle and foot, initial encounter"
"T25092A","Burn of unspecified degree of multiple sites of left ankle and foot, initial encounter"
"T25099A","Burn of unspecified degree of multiple sites of unspecified ankle and foot, initial encounter"
"T25111A","Burn of first degree of right ankle, initial encounter"
"T25112A","Burn of first degree of left ankle, initial encounter"
"T25119A","Burn of first degree of unspecified ankle, initial encounter"
"T25121A","Burn of first degree of right foot, initial encounter"
"T25122A","Burn of first degree of left foot, initial encounter"
"T25129A","Burn of first degree of unspecified foot, initial encounter"
"T25131A","Burn of first degree of right toe(s) (nail), initial encounter"
"T25132A","Burn of first degree of left toe(s) (nail), initial encounter"
"T25139A","Burn of first degree of unspecified toe(s) (nail), initial encounter"
"T25191A","Burn of first degree of multiple sites of right ankle and foot, initial encounter"
"T25192A","Burn of first degree of multiple sites of left ankle and foot, initial encounter"
"T25199A","Burn of first degree of multiple sites of unspecified ankle and foot, initial encounter"
"T25211A","Burn of second degree of right ankle, initial encounter"
"T25212A","Burn of second degree of left ankle, initial encounter"
"T25219A","Burn of second degree of unspecified ankle, initial encounter"
"T25221A","Burn of second degree of right foot, initial encounter"
"T25222A","Burn of second degree of left foot, initial encounter"
"T25229A","Burn of second degree of unspecified foot, initial encounter"
"T25231A","Burn of second degree of right toe(s) (nail), initial encounter"
"T25232A","Burn of second degree of left toe(s) (nail), initial encounter"
"T25239A","Burn of second degree of unspecified toe(s) (nail), initial encounter"
"T25291A","Burn of second degree of multiple sites of right ankle and foot, initial encounter"
"T25292A","Burn of second degree of multiple sites of left ankle and foot, initial encounter"
"T25299A","Burn of second degree of multiple sites of unspecified ankle and foot, initial encounter"
"T25311A","Burn of third degree of right ankle, initial encounter"
"T25312A","Burn of third degree of left ankle, initial encounter"
"T25319A","Burn of third degree of unspecified ankle, initial encounter"
"T25321A","Burn of third degree of right foot, initial encounter"
"T25322A","Burn of third degree of left foot, initial encounter"
"T25329A","Burn of third degree of unspecified foot, initial encounter"
"T25331A","Burn of third degree of right toe(s) (nail), initial encounter"
"T25332A","Burn of third degree of left toe(s) (nail), initial encounter"
"T25339A","Burn of third degree of unspecified toe(s) (nail), initial encounter"
"T25391A","Burn of third degree of multiple sites of right ankle and foot, initial encounter"
"T25392A","Burn of third degree of multiple sites of left ankle and foot, initial encounter"
"T25399A","Burn of third degree of multiple sites of unspecified ankle and foot, initial encounter"
"T25411A","Corrosion of unspecified degree of right ankle, initial encounter"
"T25412A","Corrosion of unspecified degree of left ankle, initial encounter"
"T25419A","Corrosion of unspecified degree of unspecified ankle, initial encounter"
"T25421A","Corrosion of unspecified degree of right foot, initial encounter"
"T25422A","Corrosion of unspecified degree of left foot, initial encounter"
"T25429A","Corrosion of unspecified degree of unspecified foot, initial encounter"
"T25431A","Corrosion of unspecified degree of right toe(s) (nail), initial encounter"
"T25432A","Corrosion of unspecified degree of left toe(s) (nail), initial encounter"
"T25439A","Corrosion of unspecified degree of unspecified toe(s) (nail), initial encounter"
"T25491A","Corrosion of unspecified degree of multiple sites of right ankle and foot, initial encounter"
"T25492A","Corrosion of unspecified degree of multiple sites of left ankle and foot, initial encounter"
"T25499A","Corrosion of unspecified degree of multiple sites of unspecified ankle and foot, initial encounter"
"T25511A","Corrosion of first degree of right ankle, initial encounter"
"T25512A","Corrosion of first degree of left ankle, initial encounter"
"T25519A","Corrosion of first degree of unspecified ankle, initial encounter"
"T25521A","Corrosion of first degree of right foot, initial encounter"
"T25522A","Corrosion of first degree of left foot, initial encounter"
"T25529A","Corrosion of first degree of unspecified foot, initial encounter"
"T25531A","Corrosion of first degree of right toe(s) (nail), initial encounter"
"T25532A","Corrosion of first degree of left toe(s) (nail), initial encounter"
"T25539A","Corrosion of first degree of unspecified toe(s) (nail), initial encounter"
"T25591A","Corrosion of first degree of multiple sites of right ankle and foot, initial encounter"
"T25592A","Corrosion of first degree of multiple sites of left ankle and foot, initial encounter"
"T25599A","Corrosion of first degree of multiple sites of unspecified ankle and foot, initial encounter"
"T25611A","Corrosion of second degree of right ankle, initial encounter"
"T25612A","Corrosion of second degree of left ankle, initial encounter"
"T25619A","Corrosion of second degree of unspecified ankle, initial encounter"
"T25621A","Corrosion of second degree of right foot, initial encounter"
"T25622A","Corrosion of second degree of left foot, initial encounter"
"T25629A","Corrosion of second degree of unspecified foot, initial encounter"
"T25631A","Corrosion of second degree of right toe(s) (nail), initial encounter"
"T25632A","Corrosion of second degree of left toe(s) (nail), initial encounter"
"T25639A","Corrosion of second degree of unspecified toe(s) (nail), initial encounter"
"T25691A","Corrosion of second degree of right ankle and foot, initial encounter"
"T25692A","Corrosion of second degree of left ankle and foot, initial encounter"
"T25699A","Corrosion of second degree of unspecified ankle and foot, initial encounter"
"T25711A","Corrosion of third degree of right ankle, initial encounter"
"T25712A","Corrosion of third degree of left ankle, initial encounter"
"T25719A","Corrosion of third degree of unspecified ankle, initial encounter"
"T25721A","Corrosion of third degree of right foot, initial encounter"
"T25722A","Corrosion of third degree of left foot, initial encounter"
"T25729A","Corrosion of third degree of unspecified foot, initial encounter"
"T25731A","Corrosion of third degree of right toe(s) (nail), initial encounter"
"T25732A","Corrosion of third degree of left toe(s) (nail), initial encounter"
"T25739A","Corrosion of third degree of unspecified toe(s) (nail), initial encounter"
"T25791A","Corrosion of third degree of multiple sites of right ankle and foot, initial encounter"
"T25792A","Corrosion of third degree of multiple sites of left ankle and foot, initial encounter"
"T25799A","Corrosion of third degree of multiple sites of unspecified ankle and foot, initial encounter"
"T2600XA","Burn of unspecified eyelid and periocular area, initial encounter"
"T2601XA","Burn of right eyelid and periocular area, initial encounter"
"T2602XA","Burn of left eyelid and periocular area, initial encounter"
"T2610XA","Burn of cornea and conjunctival sac, unspecified eye, initial encounter"
"T2611XA","Burn of cornea and conjunctival sac, right eye, initial encounter"
"T2612XA","Burn of cornea and conjunctival sac, left eye, initial encounter"
"T2620XA","Burn with resulting rupture and destruction of unspecified eyeball, initial encounter"
"T2621XA","Burn with resulting rupture and destruction of right eyeball, initial encounter"
"T2622XA","Burn with resulting rupture and destruction of left eyeball, initial encounter"
"T2630XA","Burns of other specified parts of unspecified eye and adnexa, initial encounter"
"T2631XA","Burns of other specified parts of right eye and adnexa, initial encounter"
"T2632XA","Burns of other specified parts of left eye and adnexa, initial encounter"
"T2640XA","Burn of unspecified eye and adnexa, part unspecified, initial encounter"
"T2641XA","Burn of right eye and adnexa, part unspecified, initial encounter"
"T2642XA","Burn of left eye and adnexa, part unspecified, initial encounter"
"T2650XA","Corrosion of unspecified eyelid and periocular area, initial encounter"
"T2651XA","Corrosion of right eyelid and periocular area, initial encounter"
"T2652XA","Corrosion of left eyelid and periocular area, initial encounter"
"T2660XA","Corrosion of cornea and conjunctival sac, unspecified eye, initial encounter"
"T2661XA","Corrosion of cornea and conjunctival sac, right eye, initial encounter"
"T2662XA","Corrosion of cornea and conjunctival sac, left eye, initial encounter"
"T2670XA","Corrosion with resulting rupture and destruction of unspecified eyeball, initial encounter"
"T2671XA","Corrosion with resulting rupture and destruction of right eyeball, initial encounter"
"T2672XA","Corrosion with resulting rupture and destruction of left eyeball, initial encounter"
"T2680XA","Corrosions of other specified parts of unspecified eye and adnexa, initial encounter"
"T2681XA","Corrosions of other specified parts of right eye and adnexa, initial encounter"
"T2682XA","Corrosions of other specified parts of left eye and adnexa, initial encounter"
"T2690XA","Corrosion of unspecified eye and adnexa, part unspecified, initial encounter"
"T2691XA","Corrosion of right eye and adnexa, part unspecified, initial encounter"
"T2692XA","Corrosion of left eye and adnexa, part unspecified, initial encounter"
"T270XXA","Burn of larynx and trachea, initial encounter"
"T271XXA","Burn involving larynx and trachea with lung, initial encounter"
"T272XXA","Burn of other parts of respiratory tract, initial encounter"
"T273XXA","Burn of respiratory tract, part unspecified, initial encounter"
"T274XXA","Corrosion of larynx and trachea, initial encounter"
"T275XXA","Corrosion involving larynx and trachea with lung, initial encounter"
"T276XXA","Corrosion of other parts of respiratory tract, initial encounter"
"T277XXA","Corrosion of respiratory tract, part unspecified, initial encounter"
"T280XXA","Burn of mouth and pharynx, initial encounter"
"T281XXA","Burn of esophagus, initial encounter"
"T282XXA","Burn of other parts of alimentary tract, initial encounter"
"T283XXA","Burn of internal genitourinary organs, initial encounter"
"T2840XA","Burn of unspecified internal organ, initial encounter"
"T28411A","Burn of right ear drum, initial encounter"
"T28412A","Burn of left ear drum, initial encounter"
"T28419A","Burn of unspecified ear drum, initial encounter"
"T2849XA","Burn of other internal organ, initial encounter"
"T285XXA","Corrosion of mouth and pharynx, initial encounter"
"T286XXA","Corrosion of esophagus, initial encounter"
"T287XXA","Corrosion of other parts of alimentary tract, initial encounter"
"T288XXA","Corrosion of internal genitourinary organs, initial encounter"
"T2890XA","Corrosions of unspecified internal organs, initial encounter"
"T28911A","Corrosions of right ear drum, initial encounter"
"T28912A","Corrosions of left ear drum, initial encounter"
"T28919A","Corrosions of unspecified ear drum, initial encounter"
"T2899XA","Corrosions of other internal organs, initial encounter"
"T300","Burn of unspecified body region, unspecified degree"
"T304","Corrosion of unspecified body region, unspecified degree"
"T310","Burns involving less than 10% of body surface"
"T3110","Burns involving 10-19% of body surface with 0% to 9% third degree burns"
"T3111","Burns involving 10-19% of body surface with 10-19% third degree burns"
"T3120","Burns involving 20-29% of body surface with 0% to 9% third degree burns"
"T3121","Burns involving 20-29% of body surface with 10-19% third degree burns"
"T3122","Burns involving 20-29% of body surface with 20-29% third degree burns"
"T3130","Burns involving 30-39% of body surface with 0% to 9% third degree burns"
"T3131","Burns involving 30-39% of body surface with 10-19% third degree burns"
"T3132","Burns involving 30-39% of body surface with 20-29% third degree burns"
"T3133","Burns involving 30-39% of body surface with 30-39% third degree burns"
"T3140","Burns involving 40-49% of body surface with 0% to 9% third degree burns"
"T3141","Burns involving 40-49% of body surface with 10-19% third degree burns"
"T3142","Burns involving 40-49% of body surface with 20-29% third degree burns"
"T3143","Burns involving 40-49% of body surface with 30-39% third degree burns"
"T3144","Burns involving 40-49% of body surface with 40-49% third degree burns"
"T3150","Burns involving 50-59% of body surface with 0% to 9% third degree burns"
"T3151","Burns involving 50-59% of body surface with 10-19% third degree burns"
"T3152","Burns involving 50-59% of body surface with 20-29% third degree burns"
"T3153","Burns involving 50-59% of body surface with 30-39% third degree burns"
"T3154","Burns involving 50-59% of body surface with 40-49% third degree burns"
"T3155","Burns involving 50-59% of body surface with 50-59% third degree burns"
"T3160","Burns involving 60-69% of body surface with 0% to 9% third degree burns"
"T3161","Burns involving 60-69% of body surface with 10-19% third degree burns"
"T3162","Burns involving 60-69% of body surface with 20-29% third degree burns"
"T3163","Burns involving 60-69% of body surface with 30-39% third degree burns"
"T3164","Burns involving 60-69% of body surface with 40-49% third degree burns"
"T3165","Burns involving 60-69% of body surface with 50-59% third degree burns"
"T3166","Burns involving 60-69% of body surface with 60-69% third degree burns"
"T3170","Burns involving 70-79% of body surface with 0% to 9% third degree burns"
"T3171","Burns involving 70-79% of body surface with 10-19% third degree burns"
"T3172","Burns involving 70-79% of body surface with 20-29% third degree burns"
"T3173","Burns involving 70-79% of body surface with 30-39% third degree burns"
"T3174","Burns involving 70-79% of body surface with 40-49% third degree burns"
"T3175","Burns involving 70-79% of body surface with 50-59% third degree burns"
"T3176","Burns involving 70-79% of body surface with 60-69% third degree burns"
"T3177","Burns involving 70-79% of body surface with 70-79% third degree burns"
"T3180","Burns involving 80-89% of body surface with 0% to 9% third degree burns"
"T3181","Burns involving 80-89% of body surface with 10-19% third degree burns"
"T3182","Burns involving 80-89% of body surface with 20-29% third degree burns"
"T3183","Burns involving 80-89% of body surface with 30-39% third degree burns"
"T3184","Burns involving 80-89% of body surface with 40-49% third degree burns"
"T3185","Burns involving 80-89% of body surface with 50-59% third degree burns"
"T3186","Burns involving 80-89% of body surface with 60-69% third degree burns"
"T3187","Burns involving 80-89% of body surface with 70-79% third degree burns"
"T3188","Burns involving 80-89% of body surface with 80-89% third degree burns"
"T3190","Burns involving 90% or more of body surface with 0% to 9% third degree burns"
"T3191","Burns involving 90% or more of body surface with 10-19% third degree burns"
"T3192","Burns involving 90% or more of body surface with 20-29% third degree burns"
"T3193","Burns involving 90% or more of body surface with 30-39% third degree burns"
"T3194","Burns involving 90% or more of body surface with 40-49% third degree burns"
"T3195","Burns involving 90% or more of body surface with 50-59% third degree burns"
"T3196","Burns involving 90% or more of body surface with 60-69% third degree burns"
"T3197","Burns involving 90% or more of body surface with 70-79% third degree burns"
"T3198","Burns involving 90% or more of body surface with 80-89% third degree burns"
"T3199","Burns involving 90% or more of body surface with 90% or more third degree burns"
"T320","Corrosions involving less than 10% of body surface"
"T3210","Corrosions involving 10-19% of body surface with 0% to 9% third degree corrosion"
"T3211","Corrosions involving 10-19% of body surface with 10-19% third degree corrosion"
"T3220","Corrosions involving 20-29% of body surface with 0% to 9% third degree corrosion"
"T3221","Corrosions involving 20-29% of body surface with 10-19% third degree corrosion"
"T3222","Corrosions involving 20-29% of body surface with 20-29% third degree corrosion"
"T3230","Corrosions involving 30-39% of body surface with 0% to 9% third degree corrosion"
"T3231","Corrosions involving 30-39% of body surface with 10-19% third degree corrosion"
"T3232","Corrosions involving 30-39% of body surface with 20-29% third degree corrosion"
"T3233","Corrosions involving 30-39% of body surface with 30-39% third degree corrosion"
"T3240","Corrosions involving 40-49% of body surface with 0% to 9% third degree corrosion"
"T3241","Corrosions involving 40-49% of body surface with 10-19% third degree corrosion"
"T3242","Corrosions involving 40-49% of body surface with 20-29% third degree corrosion"
"T3243","Corrosions involving 40-49% of body surface with 30-39% third degree corrosion"
"T3244","Corrosions involving 40-49% of body surface with 40-49% third degree corrosion"
"T3250","Corrosions involving 50-59% of body surface with 0% to 9% third degree corrosion"
"T3251","Corrosions involving 50-59% of body surface with 10-19% third degree corrosion"
"T3252","Corrosions involving 50-59% of body surface with 20-29% third degree corrosion"
"T3253","Corrosions involving 50-59% of body surface with 30-39% third degree corrosion"
"T3254","Corrosions involving 50-59% of body surface with 40-49% third degree corrosion"
"T3255","Corrosions involving 50-59% of body surface with 50-59% third degree corrosion"
"T3260","Corrosions involving 60-69% of body surface with 0% to 9% third degree corrosion"
"T3261","Corrosions involving 60-69% of body surface with 10-19% third degree corrosion"
"T3262","Corrosions involving 60-69% of body surface with 20-29% third degree corrosion"
"T3263","Corrosions involving 60-69% of body surface with 30-39% third degree corrosion"
"T3264","Corrosions involving 60-69% of body surface with 40-49% third degree corrosion"
"T3265","Corrosions involving 60-69% of body surface with 50-59% third degree corrosion"
"T3266","Corrosions involving 60-69% of body surface with 60-69% third degree corrosion"
"T3270","Corrosions involving 70-79% of body surface with 0% to 9% third degree corrosion"
"T3271","Corrosions involving 70-79% of body surface with 10-19% third degree corrosion"
"T3272","Corrosions involving 70-79% of body surface with 20-29% third degree corrosion"
"T3273","Corrosions involving 70-79% of body surface with 30-39% third degree corrosion"
"T3274","Corrosions involving 70-79% of body surface with 40-49% third degree corrosion"
"T3275","Corrosions involving 70-79% of body surface with 50-59% third degree corrosion"
"T3276","Corrosions involving 70-79% of body surface with 60-69% third degree corrosion"
"T3277","Corrosions involving 70-79% of body surface with 70-79% third degree corrosion"
"T3280","Corrosions involving 80-89% of body surface with 0% to 9% third degree corrosion"
"T3281","Corrosions involving 80-89% of body surface with 10-19% third degree corrosion"
"T3282","Corrosions involving 80-89% of body surface with 20-29% third degree corrosion"
"T3283","Corrosions involving 80-89% of body surface with 30-39% third degree corrosion"
"T3284","Corrosions involving 80-89% of body surface with 40-49% third degree corrosion"
"T3285","Corrosions involving 80-89% of body surface with 50-59% third degree corrosion"
"T3286","Corrosions involving 80-89% of body surface with 60-69% third degree corrosion"
"T3287","Corrosions involving 80-89% of body surface with 70-79% third degree corrosion"
"T3288","Corrosions involving 80-89% of body surface with 80-89% third degree corrosion"
"T3290","Corrosions involving 90% or more of body surface with 0% to 9% third degree corrosion"
"T3291","Corrosions involving 90% or more of body surface with 10-19% third degree corrosion"
"T3292","Corrosions involving 90% or more of body surface with 20-29% third degree corrosion"
"T3293","Corrosions involving 90% or more of body surface with 30-39% third degree corrosion"
"T3294","Corrosions involving 90% or more of body surface with 40-49% third degree corrosion"
"T3295","Corrosions involving 90% or more of body surface with 50-59% third degree corrosion"
"T3296","Corrosions involving 90% or more of body surface with 60-69% third degree corrosion"
"T3297","Corrosions involving 90% or more of body surface with 70-79% third degree corrosion"
"T3298","Corrosions involving 90% or more of body surface with 80-89% third degree corrosion"
"T3299","Corrosions involving 90% or more of body surface with 90% or more third degree corrosion"
"T424X1A","Poisoning by benzodiazepines, accidental (unintentional), initial encounter"
"T424X3A","Poisoning by benzodiazepines, assault, initial encounter"
"T424X4A","Poisoning by benzodiazepines, undetermined, initial encounter"
"T43011A","Poisoning by tricyclic antidepressants, accidental (unintentional), initial encounter"
"T43013A","Poisoning by tricyclic antidepressants, assault, initial encounter"
"T43014A","Poisoning by tricyclic antidepressants, undetermined, initial encounter"
"T43021A","Poisoning by tetracyclic antidepressants, accidental (unintentional), initial encounter"
"T43023A","Poisoning by tetracyclic antidepressants, assault, initial encounter"
"T43024A","Poisoning by tetracyclic antidepressants, undetermined, initial encounter"
"T431X1A","Poisoning by monoamine-oxidase-inhibitor antidepressants, accidental (unintentional), initial encounter"
"T431X3A","Poisoning by monoamine-oxidase-inhibitor antidepressants, assault, initial encounter"
"T431X4A","Poisoning by monoamine-oxidase-inhibitor antidepressants, undetermined, initial encounter"
"T43201A","Poisoning by unspecified antidepressants, accidental (unintentional), initial encounter"
"T43203A","Poisoning by unspecified antidepressants, assault, initial encounter"
"T43204A","Poisoning by unspecified antidepressants, undetermined, initial encounter"
"T43211A","Poisoning by selective serotonin and norepinephrine reuptake inhibitors, accidental (unintentional), initial encounter"
"T43213A","Poisoning by selective serotonin and norepinephrine reuptake inhibitors, assault, initial encounter"
"T43214A","Poisoning by selective serotonin and norepinephrine reuptake inhibitors, undetermined, initial encounter"
"T43221A","Poisoning by selective serotonin reuptake inhibitors, accidental (unintentional), initial encounter"
"T43223A","Poisoning by selective serotonin reuptake inhibitors, assault, initial encounter"
"T43224A","Poisoning by selective serotonin reuptake inhibitors, undetermined, initial encounter"
"T43291A","Poisoning by other antidepressants, accidental (unintentional), initial encounter"
"T43293A","Poisoning by other antidepressants, assault, initial encounter"
"T43294A","Poisoning by other antidepressants, undetermined, initial encounter"
"T433X1A","Poisoning by phenothiazine antipsychotics and neuroleptics, accidental (unintentional), initial encounter"
"T433X3A","Poisoning by phenothiazine antipsychotics and neuroleptics, assault, initial encounter"
"T433X4A","Poisoning by phenothiazine antipsychotics and neuroleptics, undetermined, initial encounter"
"T434X1A","Poisoning by butyrophenone and thiothixene neuroleptics, accidental (unintentional), initial encounter"
"T434X3A","Poisoning by butyrophenone and thiothixene neuroleptics, assault, initial encounter"
"T434X4A","Poisoning by butyrophenone and thiothixene neuroleptics, undetermined, initial encounter"
"T43501A","Poisoning by unspecified antipsychotics and neuroleptics, accidental (unintentional), initial encounter"
"T43503A","Poisoning by unspecified antipsychotics and neuroleptics, assault, initial encounter"
"T43504A","Poisoning by unspecified antipsychotics and neuroleptics, undetermined, initial encounter"
"T43591A","Poisoning by other antipsychotics and neuroleptics, accidental (unintentional), initial encounter"
"T43593A","Poisoning by other antipsychotics and neuroleptics, assault, initial encounter"
"T43594A","Poisoning by other antipsychotics and neuroleptics, undetermined, initial encounter"
"T43601A","Poisoning by unspecified psychostimulants, accidental (unintentional), initial encounter"
"T43603A","Poisoning by unspecified psychostimulants, assault, initial encounter"
"T43604A","Poisoning by unspecified psychostimulants, undetermined, initial encounter"
"T43611A","Poisoning by caffeine, accidental (unintentional), initial encounter"
"T43613A","Poisoning by caffeine, assault, initial encounter"
"T43614A","Poisoning by caffeine, undetermined, initial encounter"
"T43621A","Poisoning by amphetamines, accidental (unintentional), initial encounter"
"T43623A","Poisoning by amphetamines, assault, initial encounter"
"T43624A","Poisoning by amphetamines, undetermined, initial encounter"
"T43631A","Poisoning by methylphenidate, accidental (unintentional), initial encounter"
"T43633A","Poisoning by methylphenidate, assault, initial encounter"
"T43634A","Poisoning by methylphenidate, undetermined, initial encounter"
"T43691A","Poisoning by other psychostimulants, accidental (unintentional), initial encounter"
"T43693A","Poisoning by other psychostimulants, assault, initial encounter"
"T43694A","Poisoning by other psychostimulants, undetermined, initial encounter"
"T438X1A","Poisoning by other psychotropic drugs, accidental (unintentional), initial encounter"
"T438X3A","Poisoning by other psychotropic drugs, assault, initial encounter"
"T438X4A","Poisoning by other psychotropic drugs, undetermined, initial encounter"
"T4391XA","Poisoning by unspecified psychotropic drug, accidental (unintentional), initial encounter"
"T4393XA","Poisoning by unspecified psychotropic drug, assault, initial encounter"
"T4394XA","Poisoning by unspecified psychotropic drug, undetermined, initial encounter"
"K1231","Oral mucositis (ulcerative) due to antineoplastic therapy"
"K1233","Oral mucositis (ulcerative) due to radiation"
"T360X1A","Poisoning by penicillins, accidental (unintentional), initial encounter"
"T360X3A","Poisoning by penicillins, assault, initial encounter"
"T360X4A","Poisoning by penicillins, undetermined, initial encounter"
"T361X1A","Poisoning by cephalosporins and other beta-lactam antibiotics, accidental (unintentional), initial encounter"
"T361X3A","Poisoning by cephalosporins and other beta-lactam antibiotics, assault, initial encounter"
"T361X4A","Poisoning by cephalosporins and other beta-lactam antibiotics, undetermined, initial encounter"
"T362X1A","Poisoning by chloramphenicol group, accidental (unintentional), initial encounter"
"T362X3A","Poisoning by chloramphenicol group, assault, initial encounter"
"T362X4A","Poisoning by chloramphenicol group, undetermined, initial encounter"
"T363X1A","Poisoning by macrolides, accidental (unintentional), initial encounter"
"T363X3A","Poisoning by macrolides, assault, initial encounter"
"T363X4A","Poisoning by macrolides, undetermined, initial encounter"
"T364X1A","Poisoning by tetracyclines, accidental (unintentional), initial encounter"
"T364X3A","Poisoning by tetracyclines, assault, initial encounter"
"T364X4A","Poisoning by tetracyclines, undetermined, initial encounter"
"T365X1A","Poisoning by aminoglycosides, accidental (unintentional), initial encounter"
"T365X3A","Poisoning by aminoglycosides, assault, initial encounter"
"T365X4A","Poisoning by aminoglycosides, undetermined, initial encounter"
"T366X1A","Poisoning by rifampicins, accidental (unintentional), initial encounter"
"T366X3A","Poisoning by rifampicins, assault, initial encounter"
"T366X4A","Poisoning by rifampicins, undetermined, initial encounter"
"T367X1A","Poisoning by antifungal antibiotics, systemically used, accidental (unintentional), initial encounter"
"T367X3A","Poisoning by antifungal antibiotics, systemically used, assault, initial encounter"
"T367X4A","Poisoning by antifungal antibiotics, systemically used, undetermined, initial encounter"
"T368X1A","Poisoning by other systemic antibiotics, accidental (unintentional), initial encounter"
"T368X3A","Poisoning by other systemic antibiotics, assault, initial encounter"
"T368X4A","Poisoning by other systemic antibiotics, undetermined, initial encounter"
"T3691XA","Poisoning by unspecified systemic antibiotic, accidental (unintentional), initial encounter"
"T3693XA","Poisoning by unspecified systemic antibiotic, assault, initial encounter"
"T3694XA","Poisoning by unspecified systemic antibiotic, undetermined, initial encounter"
"T370X1A","Poisoning by sulfonamides, accidental (unintentional), initial encounter"
"T370X3A","Poisoning by sulfonamides, assault, initial encounter"
"T370X4A","Poisoning by sulfonamides, undetermined, initial encounter"
"T371X1A","Poisoning by antimycobacterial drugs, accidental (unintentional), initial encounter"
"T371X3A","Poisoning by antimycobacterial drugs, assault, initial encounter"
"T371X4A","Poisoning by antimycobacterial drugs, undetermined, initial encounter"
"T372X1A","Poisoning by antimalarials and drugs acting on other blood protozoa, accidental (unintentional), initial encounter"
"T372X3A","Poisoning by antimalarials and drugs acting on other blood protozoa, assault, initial encounter"
"T372X4A","Poisoning by antimalarials and drugs acting on other blood protozoa, undetermined, initial encounter"
"T373X1A","Poisoning by other antiprotozoal drugs, accidental (unintentional), initial encounter"
"T373X3A","Poisoning by other antiprotozoal drugs, assault, initial encounter"
"T373X4A","Poisoning by other antiprotozoal drugs, undetermined, initial encounter"
"T374X1A","Poisoning by anthelminthics, accidental (unintentional), initial encounter"
"T374X3A","Poisoning by anthelminthics, assault, initial encounter"
"T374X4A","Poisoning by anthelminthics, undetermined, initial encounter"
"T375X1A","Poisoning by antiviral drugs, accidental (unintentional), initial encounter"
"T375X3A","Poisoning by antiviral drugs, assault, initial encounter"
"T375X4A","Poisoning by antiviral drugs, undetermined, initial encounter"
"T378X1A","Poisoning by other specified systemic anti-infectives and antiparasitics, accidental (unintentional), initial encounter"
"T378X3A","Poisoning by other specified systemic anti-infectives and antiparasitics, assault, initial encounter"
"T378X4A","Poisoning by other specified systemic anti-infectives and antiparasitics, undetermined, initial encounter"
"T3791XA","Poisoning by unspecified systemic anti-infective and antiparasitics, accidental (unintentional), initial encounter"
"T3793XA","Poisoning by unspecified systemic anti-infective and antiparasitics, assault, initial encounter"
"T3794XA","Poisoning by unspecified systemic anti-infective and antiparasitics, undetermined, initial encounter"
"T380X1A","Poisoning by glucocorticoids and synthetic analogues, accidental (unintentional), initial encounter"
"T380X3A","Poisoning by glucocorticoids and synthetic analogues, assault, initial encounter"
"T380X4A","Poisoning by glucocorticoids and synthetic analogues, undetermined, initial encounter"
"T381X1A","Poisoning by thyroid hormones and substitutes, accidental (unintentional), initial encounter"
"T381X3A","Poisoning by thyroid hormones and substitutes, assault, initial encounter"
"T381X4A","Poisoning by thyroid hormones and substitutes, undetermined, initial encounter"
"T382X1A","Poisoning by antithyroid drugs, accidental (unintentional), initial encounter"
"T382X3A","Poisoning by antithyroid drugs, assault, initial encounter"
"T382X4A","Poisoning by antithyroid drugs, undetermined, initial encounter"
"T383X1A","Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, accidental (unintentional), initial encounter"
"T383X3A","Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, assault, initial encounter"
"T383X4A","Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, undetermined, initial encounter"
"T384X1A","Poisoning by oral contraceptives, accidental (unintentional), initial encounter"
"T384X3A","Poisoning by oral contraceptives, assault, initial encounter"
"T384X4A","Poisoning by oral contraceptives, undetermined, initial encounter"
"T385X1A","Poisoning by other estrogens and progestogens, accidental (unintentional), initial encounter"
"T385X3A","Poisoning by other estrogens and progestogens, assault, initial encounter"
"T385X4A","Poisoning by other estrogens and progestogens, undetermined, initial encounter"
"T386X1A","Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, accidental (unintentional), initial encounter"
"T386X3A","Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, assault, initial encounter"
"T386X4A","Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, undetermined, initial encounter"
"T387X1A","Poisoning by androgens and anabolic congeners, accidental (unintentional), initial encounter"
"T387X3A","Poisoning by androgens and anabolic congeners, assault, initial encounter"
"T387X4A","Poisoning by androgens and anabolic congeners, undetermined, initial encounter"
"T38801A","Poisoning by unspecified hormones and synthetic substitutes, accidental (unintentional), initial encounter"
"T38803A","Poisoning by unspecified hormones and synthetic substitutes, assault, initial encounter"
"T38804A","Poisoning by unspecified hormones and synthetic substitutes, undetermined, initial encounter"
"T38811A","Poisoning by anterior pituitary [adenohypophyseal] hormones, accidental (unintentional), initial encounter"
"T38813A","Poisoning by anterior pituitary [adenohypophyseal] hormones, assault, initial encounter"
