hcpcs,nitos,description,invasive_non_invasive,modality,body_region,focus_area
93893,N616,Tcd emboli detect w/inj,Non-Invasive,Ultrasound,Brain,Vascular
93895,N616,Tcd emboli detect w/inj,Non-Invasive,Ultrasound,Brain,Vascular
93922,N676,Upr/l xtremity art 2 levels Extremity study,Non-Invasive,Ultrasound,Extremity,Vascular
93923,N676,Upr/lxtr art stdy 3+ lvls Extremity study,Non-Invasive,Ultrasound,Extremity,Vascular
93924,N676,Lwr xtr vasc stdy bilat Extremity study,Non-Invasive,Ultrasound,Extremity,Vascular
93925,N676,Lower extremity study,Non-Invasive,Ultrasound,Extremity,Vascular
93926,N676,Lower extremity study,Non-Invasive,Ultrasound,Extremity,Vascular
93930,N676,Upper extremity study,Non-Invasive,Ultrasound,Extremity,Vascular
93931,N676,Upper extremity study,Non-Invasive,Ultrasound,Extremity,Vascular
93965,N676,Extremity study,Non-Invasive,Ultrasound,Extremity,Vascular
93970,N676,Extremity study,Non-Invasive,Ultrasound,Extremity,Vascular
93971,N676,Extremity study,Non-Invasive,Ultrasound,Extremity,Vascular
93975,N666,Vascular study,Non-Invasive,Ultrasound,Abdomen/pelvis,Vascular
93976,N666,Vascular study,Non-Invasive,Ultrasound,Abdomen/pelvis,Vascular
93978,N666,Vascular study,Non-Invasive,Ultrasound,Abdomen/pelvis,Vascular
93979,N666,Vascular study,Non-Invasive,Ultrasound,Abdomen/pelvis,Vascular
93980,N666,Penile vascular study,Non-Invasive,Ultrasound,Abdomen/pelvis,Vascular
93981,N666,Penile vascular study,Non-Invasive,Ultrasound,Abdomen/pelvis,Vascular
93985,N676,Duplex scan of arterial inflow and venous outflow for preoperative vessel assessment prior to creation of hemodialysis access; complete bilateral study,Non-Invasive,Ultrasound,Extremity,Vascular
93986,N676,Duplex scan of arterial inflow and venous outflow for preoperative vessel assessment prior to creation of hemodialysis access; complete unilateral study,Non-Invasive,Ultrasound,Extremity,Vascular
93990,N676,Doppler flow testing,Non-Invasive,Ultrasound,Extremity,Vascular
0028T,N704,Dexa body composition study,Non-Invasive,Radiography,None,Musculoskeletal
0040T,I999,"Rad s/i, endovasc taa prosth",Invasive,Invasive,Invasive,None (Invasive procedures)
0042T,N310,CT perfusion w/contrast cbf,Non-Invasive,Computerized tomography,Brain,None (Non-invasive procedures)
0067T,N362,Ct colonography;dx,Non-Invasive,Computerized tomography,Abdomen/pelvis,Gastrointestinal
0126T,N626,Common carotid intima-media thickness (IMT) study for evaluation of atherosclerotic burden or coronary heart disease risk factor assessment,Non-Invasive,Ultrasound,Head/neck,Vascular
0144T,N340,CT heart wo dye; qual calc,Non-Invasive,Computerized tomography,Cardiac,None (Non-invasive procedures)
0145T,N340,CT heart w/wo dye funct,Non-Invasive,Computerized tomography,Cardiac,None (Non-invasive procedures)
0146T,N340,CCTA w/wo dye,Non-Invasive,Computerized tomography,Cardiac,None (Non-invasive procedures)
0147T,N346,"CCTA w/wo, quan calcium",Non-Invasive,Computerized tomography,Cardiac,Vascular
0148T,N340,"CCTA w/wo, strxr",Non-Invasive,Computerized tomography,Cardiac,None (Non-invasive procedures)
0149T,N340,"CCTA w/wo, strxr quan calc",Non-Invasive,Computerized tomography,Cardiac,None (Non-invasive procedures)
0150T,N340,"CCTA w/wo, disease strxr",Non-Invasive,Computerized tomography,Cardiac,None (Non-invasive procedures)
0152T,N150,Computer chest add-on,Non-Invasive,Three-dimensional reconstruction,Chest,None (Non-invasive procedures)
0159T,N280,Cad breast mri CAD breast mri,Non-Invasive,Computer-aided detection,Breast,None (Non-invasive procedures)
0174T,N250,Cad cxr with interp CAD CXR with interp,Non-Invasive,Computer-aided detection,Chest,None (Non-invasive procedures)
0175T,N250,Cad cxr remote,Non-Invasive,Computer-aided detection,Chest,None (Non-invasive procedures)
0332T,N540,Heart symp image plnr spect,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
0346T,N600,Ultrasound elastography,Non-Invasive,Ultrasound,None,None (Non-invasive procedures)
0399T,N540,Myocardial strain imaging,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
0558T,N304,Computed tomography scan taken for the purpose of biomechanical computed tomography analysis,Non-Invasive,Computerized tomography,None,Musculoskeletal
0559T,N100,Anatomic model 3D-printed from image data set(s); first individually prepared and processed component of an anatomic structure,Non-Invasive,Three-dimensional reconstruction,None,None (Non-invasive procedures)
0560T,N100,Anatomic model 3D-printed from image data set(s); each additional individually prepared and processed component of an anatomic structure (List separately in addition to code for primary procedure),Non-Invasive,Three-dimensional reconstruction,None,None (Non-invasive procedures)
0561T,N100,Anatomic guide 3D-printed and designed from image data set(s); first anatomic guide,Non-Invasive,Three-dimensional reconstruction,None,None (Non-invasive procedures)
0562T,N100,Anatomic guide 3D-printed and designed from image data set(s); each additional anatomic guide (List separately in addition to code for primary procedure),Non-Invasive,Three-dimensional reconstruction,None,None (Non-invasive procedures)
0609T,N439,"Magnetic resonance spectroscopy, determination and localization of discogenic pain (cervical, thoracic, or lumbar); acquisition of single voxel data, per disc, on biomarkers (ie, lactic acid, carbohydrate, alanine, laal, propionic acid, proteoglycan, and collagen) in at least 3 discs""  New code effection 7/1/2020. Code 0609T is used to report the determination and localization of discogenic pain via acquisition of single voxel data (ie, a single sample, or data point, on a regularly spaced, three-dimensional grid) and biomarkers used for processing; reporting of the code necessitates use in at least 3 discs",Non-Invasive,Magnetic resonance,Spine,None (Invasive procedures)
0610T,N439,"Magnetic resonance spectroscopy, determination and localization of discogenic pain (cervical, thoracic, or lumbar); transmission of biomarker data for software analysis",Non-Invasive,Magnetic resonance,Spine,None (Invasive procedures)
0611T,N439,"Magnetic resonance spectroscopy, determination and localization of discogenic pain (cervical, thoracic, or lumbar); postprocessing for algorithmic analysis of biomarker data for determination of relative chemical
 differences between discs",Non-Invasive,Magnetic resonance,Spine,None (Invasive procedures)
0612T,N439,"Magnetic resonance spectroscopy, determination and localization of discogenic pain (cervical, thoracic, or lumbar); interpretation and report",Non-Invasive,Magnetic resonance,Spine,None (Invasive procedures)
0633T,N380,"Computed tomography, breast, including 3D rendering, when performed, unilateral; with contrast material",Non-Invasive,Computerized tomography,Breast,None (Non-invasive procedures)
0634T,N380,"Computed tomography, breast, including 3D rendering, when performed, unilateral; with contrast material(s)",Non-Invasive,Computerized tomography,Breast,None (Non-invasive procedures)
0635T,N380,"Computed tomography, breast, including 3D rendering, when performed, unilateral; without contrast, followed by contrast material(s)",Non-Invasive,Computerized tomography,Breast,None (Non-invasive procedures)
0636T,N380,"Computed tomography, breast, including 3D rendering, when performed, bilateral; without contrast material(s)",Non-Invasive,Computerized tomography,Breast,None (Non-invasive procedures)
0638T,N380,"Computed tomography, breast, including 3D rendering, when performed, bilateral; without contrast, followed by contrast material(s)",Non-Invasive,Computerized tomography,Breast,None (Non-invasive procedures)
C8900,N460,Magnetic Resonance Angiography With Contrast Abdomen,Non-Invasive,Magnetic resonance,Abdomen/pelvis,None (Non-invasive procedures)
C8901,N466,Magnetic Resonance Angiography Without Contrast Abdomen,Non-Invasive,Magnetic resonance,Abdomen/pelvis,Vascular
C8902,N466,"Magnetic Resonance Angiography Without Contrast Followed By With Contrast, Abdom",Non-Invasive,Magnetic resonance,Abdomen/pelvis,Vascular
C8903,N480,"Magnetic Resonance Imaging With Contrast, Breast; Unilateral",Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
C8905,N480,Magnetic Resonance Imaging Without Contrast Followed By With Contrast Breast; U,Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
C8906,N480,Magnetic Resonance Imaging With Contrast Breast; Bilateral,Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
C8907,N480,Magnetic Resonance Imaging Without Contrast Breast; Bilateral,Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
C8908,N486,Magnetic Resonance Imaging Without Contrast Followed By With Contrast Breast; B,Non-Invasive,Magnetic resonance,Breast,Vascular
C8909,N456,"Magnetic Resonance Angiography With Contrast, Chest (Excluding Myocardium)",Non-Invasive,Magnetic resonance,Chest,Vascular
C8910,N456,"Mra w/o cont, chest  Magnetic Resonance Angiography Without Contrast, Chest (Excluding Myocardium)",Non-Invasive,Magnetic resonance,Chest,Vascular
C8911,N456,"Mra w/o fol w/cont, chest Magnetic Resonance Angiography Without Contrast Followed By With Contrast, Chest",Non-Invasive,Magnetic resonance,Chest,Vascular
C8912,N476,"Magnetic Resonance Angiography With Contrast, Lower Extremity",Non-Invasive,Magnetic resonance,Extremity,Vascular
C8913,N476,"Magnetic resonance angiography without contrast, lower extremity",Non-Invasive,Magnetic resonance,Extremity,Vascular
C8914,N476,Magnetic Resonance Angiography Without Contrast Followed By With Contrast Lower ext,Non-Invasive,Magnetic resonance,Extremity,Vascular
C8918,N460,"Magnetic Resonance Angiography With Contrast, Pelvis",Non-Invasive,Magnetic resonance,Abdomen/pelvis,None (Non-invasive procedures)
C8919,N466,"Magnetic Resonance Angiography Without Contrast, Pelvis",Non-Invasive,Magnetic resonance,Abdomen/pelvis,Vascular
C8920,N466,"Magnetic Resonance Angiography Without Contrast Followed By With Contrast, Pelvi",Non-Invasive,Magnetic resonance,Abdomen/pelvis,Vascular
C8932,N430,"Mra, w/o dye, spinal canal",Non-Invasive,Magnetic resonance,Spine,None (Non-invasive procedures)
C8933,N436,"Magnetic Resonance Angiography Without Contrast Followed By With Contrast, Spina",Non-Invasive,Magnetic resonance,Spine,Vascular
C8934,N476,"Magnetic Resonance Angiography With Contrast, Upper Extremi",Non-Invasive,Magnetic resonance,Extremity,Vascular
C8936,N476,"Magnetic Resonance Angiography Without Contrast Followed By With Contrast, Upper extr",Non-Invasive,Magnetic resonance,Extremity,Vascular
G0030,N500,PET imaging prev PET single,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0031,N500,PET imaging prev PET multple,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0032,N500,PET follow SPECT 78464 singl,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0033,N500,PET follow SPECT 78464 mult,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0034,N500,PET follow SPECT 76865 singl,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0035,N500,PET follow SPECT 78465 mult,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0036,N556,PET follow cornry angio sing,Non-Invasive,Nuclear medicine,Chest,Vascular
G0037,N540,PET follow cornry angio mult,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
G0038,N556,PET follow myocard perf sing,Non-Invasive,Nuclear medicine,Chest,Vascular
G0039,N556,PET follow myocard perf mult,Non-Invasive,Nuclear medicine,Chest,Vascular
G0040,N540,PET follow stress echo singl,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
G0041,N540,PET follow stress echo mult,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
G0043,N556,PET follow ventriculogm mult,Non-Invasive,Nuclear medicine,Chest,Vascular
G0044,N556,PET following rest ECG singl,Non-Invasive,Nuclear medicine,Chest,Vascular
G0045,N540,PET following rest ECG mult,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
G0046,N556,PET follow stress ECG singl,Non-Invasive,Nuclear medicine,Chest,Vascular
G0047,N540,PET follow stress ECG mult,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
G0050,N663,Residual urine by ultrasound,Non-Invasive,Ultrasound,Abdomen/pelvis,Genitourinary
G0106,N762,Colon CA screen;barium enema ,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
G0120,N762,Colon ca scrn; barium enema,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
G0122,N762,Colon ca scrn; barium enema,Non-Invasive,Radiography,Abdomen/pelvis,Gastrointestinal
G0125,N550,PET image pulmonary nodule,Non-Invasive,Nuclear medicine,Chest,None (Non-invasive procedures)
G0130,N774,Single energy x-ray study,Non-Invasive,Radiography,Extremity,Musculoskeletal
G0132,N304,"CT scan, bone density study",Non-Invasive,Computerized tomography,None,Musculoskeletal
G0202,N780, Screening mammography digital ,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
G0204,N780,Diagnostic mammography digital Dx mammo incl cad bi,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
G0206,N780,Diagnostic mammography digital Dx mammo incl cad uni ,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
G0210,N500,PET img wholebody dxlung,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0211,N500,PET img wholbody init lung,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0212,N500,PET img wholebod restag lung,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0213,N500,PET img wholbody dx,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0214,N500,PET img wholebod init,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0215,N500,PETimg wholebod restag,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0216,N500,PET img wholebod dx melanoma,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0217,N500,PET img wholebod init melan,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0218,N500,PET img wholebod restag mela,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0219,N500,PET img wholbod melano nonco,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0220,N500,PET img wholebod dx lymphoma,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0221,N500,PET imag wholbod init lympho,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0222,N500,PET imag wholbod resta lymph,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0223,N500,PET imag wholbod reg dx head,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0224,N500,PET imag wholbod reg ini hea,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0225,N500,PET whol restag headneckonly,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0226,N500,PET img wholbody dx esophagl,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0227,N500,PET img wholbod ini esophage,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0228,N500,PET img wholbod restg esopha,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0229,N510,PET img metaboloc brain pres,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
G0230,N540,PET myocard viability post,Non-Invasive,Nuclear medicine,Cardiac,None (Non-invasive procedures)
G0231,N500,PET WhBD colorec; gamma cam,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0232,N500,PET whbd lymphoma; gamma cam,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0233,N500,PET whbd melanoma; gamma cam,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0234,N500,PET WhBD pulm nod; gamma cam,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0235,N500,Pet not otherwise specified,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0252,N500,PET imaging initial dx,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0253,N500,PET image brst dection recur,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0254,N500,PET image brst eval to tx,Non-Invasive,Nuclear medicine,None,None (Non-invasive procedures)
G0279,N780,"Tomosynthesis, mammo",Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
G0288,N106,"Recon, CTA for surg plan",Non-Invasive,Three-dimensional reconstruction,None,Vascular
G0297,N350,Ldct for lung ca screen,Non-Invasive,Computerized tomography,Chest,None (Non-invasive procedures)
G0336,N510,PET imaging brain alzheimers,Non-Invasive,Nuclear medicine,Brain,None (Non-invasive procedures)
G0365,N676,Vessel mapping hemo access,Non-Invasive,Ultrasound,Extremity,Vascular
G0389,N666,Ultrasound exam AAA screen,Non-Invasive,Ultrasound,Abdomen/pelvis,Vascular
