"icd_9_pcs","long_description","short_description"
8550,"Augmentation mammoplasty, not otherwise specified",Augment mammoplasty NOS
8551,Unilateral injection into breast for augmentation,Unil breast injec-augmen
8552,Bilateral injection into breast for augmentation,Bil breast injec-augment
8553,Unilateral breast implant,Unilat breast implant
8554,Bilateral breast implant,Bilateral breast implant
8555,Fat graft to breast,Fat graft to breast
856,Mastopexy,Mastopexy
8570,"Total reconstruction of breast, not otherwise specified",Totl reconstc breast NOS
8571,Latissimus dorsi myocutaneous flap,Latiss dorsi myocut flap
8572,"Transverse rectus abdominis myocutaneous (TRAM) flap, pedicled","TRAM flap, pedicled"
8573,"Transverse rectus abdominis myocutaneous (TRAM) flap, free","TRAM flap, free"
8574,"Deep inferior epigastric artery perforator (DIEP) flap, free","DIEP flap, free"
8575,"Superficial inferior epigastric artery (SIEA) flap, free","SIEA flap, free"
8576,"Gluteal artery perforator (GAP) flap, free","GAP flap, free"
8579,Other total reconstruction of breast,Totl reconst breast NEC
8581,Suture of laceration of breast,Suture breast laceration
8582,Split-thickness graft to breast,Breast split-thick graft
8583,Full-thickness graft to breast,Breast full-thick graft
8584,Pedicle graft to breast,Breast pedicle graft
8585,Muscle flap graft to breast,Breast muscle flap graft
8586,Transposition of nipple,Transposition of nipple
8587,Other repair or reconstruction of nipple,Nipple repair NEC
8589,Other mammoplasty,Mammoplasty NEC
8591,Aspiration of breast,Aspiration of breast
8592,Injection of therapeutic agent into breast,Breast injection
8593,Revision of implant of breast,Breast implant revision
8594,Removal of implant of breast,Breast implant removal
8595,Insertion of breast tissue expander,Inser breast tissu expan
8596,Removal of breast tissue expander,Remov breast tissu expan
8599,Other operations on the breast,Breast operation NEC
8601,Aspiration of skin and subcutaneous tissue,Aspiration skin & subq
8602,Injection or tattooing of skin lesion or defect,Skin defect tattooing
8603,Incision of pilonidal sinus or cyst,Incision pilonidal sinus
8604,Other incision with drainage of skin and subcutaneous tissue,Other skin & subq i & d
8605,Incision with removal of foreign body or device from skin and subcutaneous tissue,Removal fb/dev from skin
8606,Insertion of totally implantable infusion pump,Insert infusion pump
8607,Insertion of totally implantable vascular access device [VAD],Insert vasc access dev
8609,Other incision of skin and subcutaneous tissue,Skin & subq incision NEC
8611,Closed biopsy of skin and subcutaneous tissue,Closed bx skin/subq tiss
8619,Other diagnostic procedures on skin and subcutaneous tissue,Skin & subq dx proc NEC
8621,Excision of pilonidal cyst or sinus,Excision of pilonid cyst
8622,"Excisional debridement of wound, infection, or burn",Exc wound debridement
8623,"Removal of nail, nail bed, or nail fold",Nail removal
8624,Chemosurgery of skin,Skin chemosurgery
8625,Dermabrasion,Dermabrasion
8626,Ligation of dermal appendage,Ligation dermal appendag
8627,"Debridement of nail, nail bed, or nail fold",Debridement of nail
8628,"Nonexcisional debridement of wound, infection or burn",Nonexcis debridement wnd
863,Other local excision or destruction of lesion or tissue of skin and subcutaneous tissue,Other local destruc skin
864,Radical excision of skin lesion,Radical excis skin les
8651,Replantation of scalp,Replantation of scalp
8659,Closure of skin and subcutaneous tissue of other sites,Skin closure NEC
8660,"Free skin graft, not otherwise specified",Free skin graft NOS
8661,Full-thickness skin graft to hand,Full-thick hand skin grf
8662,Other skin graft to hand,Hand skin graft NEC
8663,Full-thickness skin graft to other sites,Full-thick skin grft NEC
8664,Hair transplant,Hair transplant
8665,Heterograft to skin,Heterograft to skin
8666,Homograft to skin,Homograft to skin
8667,Dermal regenerative graft,Dermal regener graft
8669,Other skin graft to other sites,Free skin graft NEC
8670,"Pedicle or flap graft, not otherwise specified",Pedicle graft/flap NOS
8671,Cutting and preparation of pedicle grafts or flaps,Cut & prep pedicle graft
8672,Advancement of pedicle graft,Pedicle graft advancemen
8673,Attachment of pedicle or flap graft to hand,Attach pedicle to hand
8674,Attachment of pedicle or flap graft to other sites,Attach pedicle graft NEC
8675,Revision of pedicle or flap graft,Revision of pedicle grft
8681,Repair for facial weakness,Repair facial weakness
8682,Facial rhytidectomy,Facial rhytidectomy
8683,Size reduction plastic operation,Size reduct plastic op
8684,Relaxation of scar or web contracture of skin,Relaxation of scar
8685,Correction of syndactyly,Syndactyly correction
8686,Onychoplasty,Onychoplasty
8687,Fat graft of skin and subcutaneous tissue,Fat grft skin/subq tiss
8689,Other repair and reconstruction of skin and subcutaneous tissue,Skin repair & plasty NEC
8690,Extraction of fat for graft or banking,Ext fat for grft/banking
8691,Excision of skin for graft,Skin excision for graft
8692,Electrolysis and other epilation of skin,Epilation of skin
8693,Insertion of tissue expander,Insert tissue expander
8694,"Insertion or replacement of single array neurostimulator pulse generator, not specified as rechargeable",Ins/repl single pul gen
8695,"Insertion or replacement of multiple array neurostimulator pulse generator, not specified as rechargeable",Ins/re pls gn no rechrg
8696,Insertion or replacement of other neurostimulator pulse generator,Insert/repl oth neurost
8697,Insertion or replacement of single array rechargeable neurostimulator pulse generator,"Ins/rep 1 pul gen,rechrg"
8698,Insertion or replacement of multiple array (two or more) rechargeable neurostimulator pulse generator,"Ins/rep mul pul gn,rechg"
8699,Other operations on skin and subcutaneous tissue,Skin & subq op NEC
8701,Pneumoencephalogram,Pneumoencephalogram
8702,Other contrast radiogram of brain and skull,Brain/skull contrst xray
8703,Computerized axial tomography of head,C.A.T. scan of head
8704,Other tomography of head,Head tomography NEC
8705,Contrast dacryocystogram,Contrast dacryocystogram
8706,Contrast radiogram of nasopharynx,Nasophary contrast x-ray
8707,Contrast laryngogram,Contrast laryngogram
8708,Cervical lymphangiogram,Cervical lymphangiogram
8709,"Other soft tissue x-ray of face, head, and neck",Head soft tiss x-ray NEC
8711,Full-mouth x-ray of teeth,Full-mouth x-ray
8712,Other dental x-ray,Dental x-ray NEC
8713,Temporomandibular contrast arthrogram,Tm contrast arthrogram
8714,Contrast radiogram of orbit,Contrast x-ray of orbit
8715,Contrast radiogram of sinus,Contrast x-ray of sinus
8716,Other x-ray of facial bones,Facial bone x-ray NEC
8717,Other x-ray of skull,Skull x-ray NEC
8721,Contrast myelogram,Contrast myelogram
8722,Other x-ray of cervical spine,Cervical spine x-ray NEC
8723,Other x-ray of thoracic spine,Thoracic spine x-ray NEC
8724,Other x-ray of lumbosacral spine,Lumbosac spine x-ray NEC
8729,Other x-ray of spine,Spinal x-ray NEC
8731,Endotracheal bronchogram,Endotracheal bronchogram
8732,Other contrast bronchogram,Contrast bronchogram NEC
8733,Mediastinal pneumogram,Mediastinal pneumogram
8734,Intrathoracic lymphangiogram,Intrathor lymphangiogram
8735,Contrast radiogram of mammary ducts,Contr mammary ductogram
8736,Xerography of breast,Breast xerography
8737,Other mammography,Mammography NEC
8738,Sinogram of chest wall,Chest wall sinogram
8739,Other soft tissue x-ray of chest wall,Thorax sft tiss xray NEC
8741,Computerized axial tomography of thorax,C.A.T. scan of thorax
8742,Other tomography of thorax,Thoracic tomography NEC
8743,"X-ray of ribs, sternum, and clavicle",Rib/sternum/clavic x-ray
8744,"Routine chest x-ray, so described",Routine chest x-ray
8749,Other chest x-ray,Chest x-ray NEC
8751,Percutaneous hepatic cholangiogram,Perc hepat Cholangiogram
8752,Intravenous cholangiogram,Intraven cholangiogram
8753,Intraoperative cholangiogram,Intraoper cholangiogram
8754,Other cholangiogram,Cholangiogram NEC
8759,Other biliary tract x-ray,Biliary tract x-ray NEC
8761,Barium swallow,Barium swallow
8762,Upper GI series,Upper GI series
8763,Small bowel series,Small bowel series
8764,Lower GI series,Lower GI series
8765,Other x-ray of intestine,Intestinal x-ray NEC
8766,Contrast pancreatogram,Contrast pancreatogram
8769,Other digestive tract x-ray,Digestive tract xray NEC
8771,Computerized axial tomography of kidney,C.A.T. scan of kidney
8772,Other nephrotomogram,Nephrotomogram NEC
8773,Intravenous pyelogram,Intravenous pyelogram
8774,Retrograde pyelogram,Retrograde pyelogram
8775,Percutaneous pyelogram,Percutaneous pyelogram
8776,Retrograde cystourethrogram,Retrogr cystourethrogram
8777,Other cystogram,Cystogram NEC
8778,Ileal conduitogram,Ileal conduitogram
8779,Other x-ray of the urinary system,Urinary system x-ray NEC
8781,X-ray of gravid uterus,X-ray of gravid uterus
8782,Gas contrast hysterosalpingogram,Gas hysterosalpingogram
8783,Opaque dye contrast hysterosalpingogram,Dye hysterosalpingogram
8784,Percutaneous hysterogram,Percutaneous hysterogram
8785,Other x-ray of fallopian tubes and uterus,Tube & uterus x-ray NEC
8789,Other x-ray of female genital organs,Female genital x-ray NEC
8791,Contrast seminal vesiculogram,Contr semin vesiculogram
8792,Other x-ray of prostate and seminal vesicles,Prostat/sem ves xray NEC
8793,Contrast epididymogram,Contrast epididymogram
8794,Contrast vasogram,Contrast vasogram
8795,Other x-ray of epididymis and vas deferens,Epididymis/vas x-ray NEC
8799,Other x-ray of male genital organs,Male genital x-ray NEC
8801,Computerized axial tomography of abdomen,C.A.T. scan of abdomen
8802,Other abdomen tomography,Abdominal tomography NEC
8803,Sinogram of abdominal wall,Abdominal wall sinogram
8804,Abdominal lymphangiogram,Abdominal lymphangiogram
8809,Other soft tissue x-ray of abdominal wall,Abdominal wall x-ray NEC
8811,Pelvic opaque dye contrast radiography,Pelvic dye contrast xray
8812,Pelvic gas contrast radiography,Pelvic gas contrast xray
8813,Other peritoneal pneumogram,Periton pneumogram NEC
8814,Retroperitoneal fistulogram,Retroperiton fistulogram
8815,Retroperitoneal pneumogram,Retroperiton pneumogram
8816,Other retroperitoneal x-ray,Retroperitoneal xray NEC
8819,Other x-ray of abdomen,Abdominal x-ray NEC
8821,Skeletal x-ray of shoulder and upper arm,Skl xray-shoulder/up arm
8822,Skeletal x-ray of elbow and forearm,Skel xray-elbow/forearm
8823,Skeletal x-ray of wrist and hand,Skel xray-wrist & hand
8824,"Skeletal x-ray of upper limb, not otherwise specified",Skel xray-upper limb NOS
8825,Pelvimetry,Pelvimetry
8826,Other skeletal x-ray of pelvis and hip,Skel xray-pelvis/hip NEC
8827,"Skeletal x-ray of thigh, knee, and lower leg",Skel xray-thigh/knee/leg
8828,Skeletal x-ray of ankle and foot,Skel xray-ankle & foot
8829,"Skeletal x-ray of lower limb, not otherwise specified",Skel xray-lower limb NOS
8831,Skeletal series,Skeletal series x-ray
8832,Contrast arthrogram,Contrast arthrogram
8833,Other skeletal x-ray,Other skeletal x-ray
8834,Lymphangiogram of upper limb,Upper limb lymphangiogrm
8835,Other soft tissue x-ray of upper limb,Up limb sft tis xray NEC
8836,Lymphangiogram of lower limb,Lower limb lymphangiogrm
8837,Other soft tissue x-ray of lower limb,Lo limb sft tis xray NEC
8838,Other computerized axial tomography,Other C.A.T. scan
8839,"X-ray, other and unspecified",X-ray NEC and NOS
8840,"Arteriography using contrast material, unspecified site",Contrast arteriogram NOS
8841,Arteriography of cerebral arteries,Contr cerebr arteriogram
8842,Aortography,Contrast aortogram
8843,Arteriography of pulmonary arteries,Contr pulmon arteriogram
8844,Arteriography of other intrathoracic vessels,Contr thor arteriogr NEC
8845,Arteriography of renal arteries,Contrast renal arteriogr
8846,Arteriography of placenta,Contrast placentogram
8847,Arteriography of other intra-abdominal arteries,Contr abd arteriogrm NEC
8848,Arteriography of femoral and other lower extremity arteries,Contrast arteriogram-leg
8849,Arteriography of other specified sites,Contrast arteriogram NEC
8850,"Angiocardiography, not otherwise specified",Angiocardiography NOS
8851,Angiocardiography of venae cavae,Vena cav angiocardiogram
8852,Angiocardiography of right heart structures,Rt heart angiocardiogram
8853,Angiocardiography of left heart structures,Lt heart angiocardiogram
8854,Combined right and left heart angiocardiography,Rt & lt heart angiocard
8855,Coronary arteriography using a single catheter,Coronar arteriogr-1 cath
8856,Coronary arteriography using two catheters,Coronar arteriogr-2 cath
8857,Other and unspecified coronary arteriography,Coronary arteriogram NEC
8858,Negative-contrast cardiac roentgenography,Negatve-contr cardiogram
8859,Intra-operative coronary fluorescence vascular angiography,Intraop cor flr vas angi
8860,"Phlebography using contrast material, unspecified site",Contrast phlebogram NOS
8861,Phlebography of veins of head and neck using contrast material,Contr phlebogram-hd/neck
8862,Phlebography of pulmonary veins using contrast material,Contr phlebogram-pulmon
8863,Phlebography of other intrathoracic veins using contrast material,Thorac contr phlebog NEC
8864,Phlebography of the portal venous system using contrast material,Portal contr phlebogram
8865,Phlebography of other Intra-Abdominal veins using contrast material,Abd contr phlebogram NEC
8866,Phlebography of femoral and other lower extremity veins using contrast material,Contrast phlebogram-leg
8867,Phlebography of other specified sites using contrast material,Contrast phlebogram NEC
8868,Impedance phlebography,Impedance phlebogram
8871,Diagnostic ultrasound of head and neck,Dx ultrasound-head/neck
8872,Diagnostic ultrasound of heart,Dx ultrasound-heart
8873,Diagnostic ultrasound of other sites of thorax,Dx ultrasound-thorax NEC
8874,Diagnostic ultrasound of digestive system,Dx ultrasound-digestive
8875,Diagnostic ultrasound of urinary system,Dx ultrasound-urinary
8876,Diagnostic ultrasound of abdomen and retroperitoneum,Dx ultrasound-abdomen
8877,Diagnostic ultrasound of peripheral vascular system,Dx ultrasound-vascular
8878,Diagnostic ultrasound of gravid uterus,Dx ultrasound-grav uter
8879,Other diagnostic ultrasound,Dx ultrasound NEC
8881,Cerebral thermography,Cerebral thermography
8882,Ocular thermography,Ocular thermography
8883,Bone thermography,Bone thermography
8884,Muscle thermography,Muscle thermography
8885,Breast thermography,Breast thermography
8886,Blood vessel thermography,Blood vessel thermograph
8889,Thermography of other sites,Thermography NEC
8890,"Diagnostic imaging, not elsewhere classified",Diagnostic imaging NOS
8891,Magnetic resonance imaging of brain and brain stem,Mri of brain & brainstem
8892,Magnetic resonance imaging of chest and myocardium,Mri chest & heart
8893,Magnetic resonance imaging of spinal canal,Mri spinal canal
8894,Magnetic resonance imaging of musculoskeletal,Mri musculoskeletal
8895,"Magnetic resonance imaging of pelvis, prostate, and bladder","Mri pelvis,prostate,blad"
8896,Other intraoperative magnetic resonance imaging,Oth intraop mag res imag
8897,Magnetic resonance imaging of other and unspecified sites,Magnetic res image unsp
8898,Bone mineral density studies,Bone mineral density
8901,"Interview and evaluation, described as brief",Brief interview & evalua
8902,"Interview and evaluation, described as limited",Limited interview/evalua
8903,"Interview and evaluation, described as comprehensive",Comprehen interview/eval
8904,Other interview and evaluation,Interview & evaluat NEC
8905,"Diagnostic interview and evaluation, not otherwise specified",Interview & evaluat NOS
8906,"Consultation, described as limited",Limited consultation
8907,"Consultation, described as comprehensive",Comprehensive consultat
8908,Other consultation,Consultation NEC
8909,"Consultation, not otherwise specified",Consultation NOS
8910,Intracarotid amobarbital test,Intracarot amobarb test
8911,Tonometry,Tonometry
8912,Nasal function study,Nasal function study
8913,Neurologic examination,Neurologic examination
8914,Electroencephalogram,Electroencephalogram
8915,Other nonoperative neurologic function tests,Neurologic func test NEC
8916,Transillumination of newborn skull,Skull transilluminat
8917,Polysomnogram,Polysomnogram
8918,Other sleep disorder function tests,Oth sleep dis funct test
8919,Video and radio-telemetered electroencephalographic monitoring,Video/radio eeg monitor
8921,Urinary manometry,Urinary manometry
8922,Cystometrogram,Cystometrogram
8923,Urethral sphincter electromyogram,Urethral sphincter emg
8924,Uroflowmetry [UFR],Uroflowmetry
8925,Urethral pressure profile [UPP],Urethral pressure profil
8926,Gynecological examination,Gynecologic examination
8929,Other nonoperative genitourinary system measurements,Other gu system exams
8931,Dental examination,Dental examination
8932,Esophageal manometry,Esophageal manometry
8933,Digital examination of enterostomy stoma,Digital enterostomy exam
8934,Digital examination of rectum,Digital rectal exam
8935,Transillumination of nasal sinuses,Nasal sinus transillumin
8936,Manual examination of breast,Manual exam of breast
8937,Vital capacity determination,Vital capacity determin
8938,Other nonoperative respiratory measurements,Respiratory measure NEC
8939,Other nonoperative measurements and examinations,Nonoperative exams NEC
8941,Cardiovascular stress test using treadmill,Treadmill stress test
8942,Masters' two-step stress test,Masters' 2-step test
8943,Cardiovascular stress test using bicycle ergometer,Bicycle ergometer test
8944,Other cardiovascular stress test,Cardiac stress test NEC
8945,Artificial pacemaker rate check,Pacemaker rate check
8946,Artificial pacemaker artifact wave form check,Pacemaker wave form chck
8947,Artificial pacemaker electrode impedance check,Pacemaker impedance chck
8948,Artificial pacemaker voltage or amperage threshold check,Pacemaker volt threshold
8949,Automatic implantable cardioverter/defibrillator (AICD) check,AICD check
8950,Ambulatory cardiac monitoring,Ambu cardiac monitoring
8951,Rhythm electrocardiogram,Rhythm electrocardiogram
8952,Electrocardiogram,Electrocardiogram
8953,Vectorcardiogram (with ECG),Vectorcardiogram
8954,Electrographic monitoring,Electrocardiograph monit
8955,Phonocardiogram with ECG lead,Phonocardiogram
8956,Carotid pulse tracing with ECG lead,Carotid pulse tracing
8957,Apexcardiogram (with ECG lead),Apexcardiogram
8958,Plethysmogram,Plethysmogram
8959,Other nonoperative cardiac and vascular measurements,Nonop cardiac/vasc exam
8960,Continuous intra-arterial blood gas monitoring,Cnt intraart bld gas mon
8961,Systemic arterial pressure monitoring,Arterial pressure monit
8962,Central venous pressure monitoring,Cvp monitoring
8963,Pulmonary artery pressure monitoring,Pulmon art press monitor
8964,Pulmonary artery wedge monitoring,Pulmon art wedge monitor
8965,Measurement of systemic arterial blood gases,Arterial bld gas measure
8966,Measurement of mixed venous blood gases,Mix venous bld gas meas
8967,Monitoring of cardiac output by oxygen consumption technique,Oxygen consumption monit
8968,Monitoring of cardiac output by other technique,Oth cardiac mon output
8969,Monitoring of coronary blood flow,Coronary bld flow monit
897,General physical examination,General physical exam
898,Autopsy,Autopsy
9001,"Microscopic examination of specimen from nervous system and of spinal fluid, bacterial smear",Bact smear-nervous syst
9002,"Microscopic examination of specimen from nervous system and of spinal fluid, culture",Culture-nervous syst
9003,"Microscopic examination of specimen from nervous system and of spinal fluid, culture and sensitivity",C & s-nervous syst
9004,"Microscopic examination of specimen from nervous system and of spinal fluid, parasitology",Parasitology-nerv syst
9005,"Microscopic examination of specimen from nervous system and of spinal fluid, toxicology",Toxicology-nervous syst
9006,"Microscopic examination of specimen from nervous system and of spinal fluid, cell block and Papanicolaou smear",Cell blk/pap-nervous sys
9009,"Microscopic examination of specimen from nervous system and of spinal fluid, other microscopic examination",Micro exam-nervous NEC
9011,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, bacterial smear",Bact smear-endocrine
9012,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, culture",Culture-endocrine
9013,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, culture and sensitivity",C & s-endocrine
9014,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, parasitology",Parasitology-endocrine
9015,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, toxicology",Toxicology-endocrine
9016,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, cell block and Papanicolaou smear",Cell block/pap-endocrine
9019,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, other microscopic examination",Micro exam-endocrine NEC
9021,"Microscopic examination of specimen from eye, bacterial smear",Bact smear-eye
9022,"Microscopic examination of specimen from eye, culture",Culture-eye
9023,"Microscopic examination of specimen from eye, culture and sensitivity",C & s-eye
9024,"Microscopic examination of specimen from eye, parasitology",Parasitology-eye
9025,"Microscopic examination of specimen from eye, toxicology",Toxicology-eye
9026,"Microscopic examination of specimen from eye, cell block and Papanicolaou smear",Cell block/pap-eye
9029,"Microscopic examination of specimen from eye, other microscopic examination",Micro exam-eye NEC
9031,"Microscopic examination of specimen from ear, nose, throat, and larynx, bacterial smear",Bact smear-ent/larynx
9032,"Microscopic examination of specimen from ear, nose, throat, and larynx, culture",Culture-ent/larynx
9033,"Microscopic examination of specimen from ear, nose, throat, and larynx, culture and sensitivity",C & s-ent/larynx
9034,"Microscopic examination of specimen from ear, nose, throat, and larynx, parasitology",Parasitology-ent/larynx
9035,"Microscopic examination of specimen from ear, nose, throat, and larynx, toxicology",Toxicology-ent/larynx
9036,"Microscopic examination of specimen from ear, nose, throat, and larynx, cell block and Papanicolaou smear",Cell block/pap-ent/laryn
9039,"Microscopic examination of specimen from ear, nose, throat, and larynx, other microscopic examination",Micro exam-ent/laryn NEC
9041,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, bacterial smear",Bact smear-lower resp
9042,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, culture",Culture-lower resp
9043,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, culture and sensitivity",C & s-lower resp
9044,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, parasitology",Parasitology-lower resp
9045,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, toxicology",Toxicology-lower resp
9046,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, cell block and Papanicolaou smear",Cell block/pap-lowr resp
9049,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, other microscopic examination",Micro exam-lowr resp NEC
9051,"Microscopic examination of blood, bacterial smear",Bact smear-blood
9052,"Microscopic examination of blood, culture",Culture-blood
9053,"Microscopic examination of blood, culture and sensitivity",C & s-blood
9054,"Microscopic examination of blood, parasitology",Parasitology-blood
9055,"Microscopic examination of blood, toxicology",Toxicology-blood
9056,"Microscopic examination of blood, cell block and Papanicolaou smear",Cell block/pap-blood
9059,"Microscopic examination of blood, other microscopic examination",Micro exam-blood NEC
9061,"Microscopic examination of specimen from spleen and of bone marrow, bacterial smear",Bact smear-spleen/marrow
9062,"Microscopic examination of specimen from spleen and of bone marrow, culture",Culture-spleen/marrow
9063,"Microscopic examination of specimen from spleen and of bone marrow, culture and sensitivity",C & s-spleen/marrow
9064,"Microscopic examination of specimen from spleen and of bone marrow, parasitology",Parasitol-spleen/marrow
9065,"Microscopic examination of specimen from spleen and of bone marrow, toxicology",Toxicology-spleen/marrow
9066,"Microscopic examination of specimen from spleen and of bone marrow, cell block and Papanicolaou smear",Cell blk/pap-spleen/marr
9069,"Microscopic examination of specimen from spleen and of bone marrow, other microscopic examination",Micro exam-spln/marr NEC
9071,"Microscopic examination of specimen from lymph node and of lymph, bacterial smear",Bact smear-lymph system
9072,"Microscopic examination of specimen from lymph node and of lymph, culture",Culture-lymph system
9073,"Microscopic examination of specimen from lymph node and of lymph, culture and sensitivity",C & s-lymph system
9074,"Microscopic examination of specimen from lymph node and of lymph, parasitology",Parasitology-lymph sys
9075,"Microscopic examination of specimen from lymph node and of lymph, toxicology",Toxicology-lymph system
9076,"Microscopic examination of specimen from lymph node and of lymph, cell block and Papanicolaou smear",Cell blk/pap-lymph sys
9079,"Microscopic examination of specimen from lymph node and of lymph, other microscopic examination",Micro exam-lymph sys NEC
9081,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, bacterial smear",Bact smear-upper GI
9082,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, culture",Culture-upper GI
9083,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, culture and sensitivity",C & s-upper GI
9084,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, parasitology",Parasitology-upper GI
9085,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, toxicology",Toxicology-upper GI
9086,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, cell block and Papanicolaou smear",Cell blk/pap-upper GI
9089,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, other microscopic examination",Micro exam-upper GI NEC
9091,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, bacterial smear",Bact smear-lower GI
9092,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, culture",Culture-lower GI
9093,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, culture and sensitivity",C & s-lower GI
9094,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, parasitology",Parasitology-lower GI
9095,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, toxicology",Toxicology-lower GI
9096,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, cell block and Papanicolaou smear",Cell blk/pap-lower GI
9099,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, other microscopic examination",Micro exam-lower GI NEC
9101,"Microscopic examination of specimen from liver, biliary tract, and pancreas, bacterial smear",Bact smear-bili/pancreas
9102,"Microscopic examination of specimen from liver, biliary tract, and pancreas, culture",Culture-bili/pancreas
9103,"Microscopic examination of specimen from liver, biliary tract, and pancreas, culture and sensitivity",C & s-bili/pancreas
9104,"Microscopic examination of specimen from liver, biliary tract, and pancreas, parasitology",Parasitology-bili/pancr
9105,"Microscopic examination of specimen from liver, biliary tract, and pancreas, toxicology",Toxicology-bili/pancreas
9106,"Microscopic examination of specimen from liver, biliary tract, and pancreas, cell block and Papanicolaou smear",Cell blk/pap-bili/pancre
9109,"Microscopic examination of specimen from liver, biliary tract, and pancreas, other microscopic examination",Micro exam-bili/panc NEC
9111,"Microscopic examination of peritoneal and retroperitoneal specimen, bacterial smear",Bact smear-peritoneum
9112,"Microscopic examination of peritoneal and retroperitoneal specimen, culture",Culture-peritoneum
9113,"Microscopic examination of peritoneal and retroperitoneal specimen, culture and sensitivity",C & s-peritoneum
9114,"Microscopic examination of peritoneal and retroperitoneal specimen, parasitology",Parasitology-peritoneum
9115,"Microscopic examination of peritoneal and retroperitoneal specimen, toxicology",Toxicology-peritoneum
9116,"Microscopic examination of peritoneal and retroperitoneal specimen, cell block and Papanicolaou smear",Cell blk/pap-peritoneum
9119,"Microscopic examination of peritoneal and retroperitoneal specimen, other microscopic examination",Micro exam-periton NEC
9121,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, bacterial smear",Bact smear-upper urinary
9122,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, culture",Culture-upper urinary
9123,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, culture and sensitivity",C & s-upper urinary
9124,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, parasitology",Parasitology-upper urin
9125,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, toxicology",Toxicology-upper urinary
9126,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, cell block and Papanicolaou smear",Cell blk/pap-upper urin
9129,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, other microscopic examination",Micro exam-uppr urin NEC
9131,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, bacterial smear",Bact smear-lower urinary
9132,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, culture",Culture-lower urinary
9133,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, culture and sensitivity",C & s-lower urinary
9134,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, parasitology",Parasitlolgy-lower urin
9135,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, toxicology",Toxicology-lower urinary
9136,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, cell block and Papanicolaou smear",Cell blk/pap-lower urin
9139,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, other microscopic examination",Micro exam-low urin NEC
9141,"Microscopic examination of specimen from female genital tract, bacterial smear",Bact smear-female genit
9142,"Microscopic examination of specimen from female genital tract, culture",Culture-female genital
9143,"Microscopic examination of specimen from female genital tract, culture and sensitivity",C & s-female genital
9144,"Microscopic examination of specimen from female genital tract, parasitology",Parasitology-female gen
9145,"Microscopic examination of specimen from female genital tract, toxicology",Toxicology-female genit
9146,"Microscopic examination of specimen from female genital tract, cell block and Papanicolaou smear",Cell blk/pap-female gen
9149,"Microscopic examination of specimen from female genital tract, other microscopic examination",Micro exam-femal gen NEC
