HCPCS,HCPCS_DESCRIPTION
72295,X-ray of lower spine disk
73000,X-ray exam of collar bone
73010,X-ray exam of shoulder blade
73020,X-ray exam of shoulder
73030,X-ray exam of shoulder
73040,Contrast x-ray of shoulder
73050,X-ray exam of shoulders
73060,X-ray exam of humerus
73070,X-ray exam of elbow
73080,X-ray exam of elbow
73085,Contrast x-ray of elbow
73090,X-ray exam of forearm
73092,X-ray exam of arm infant
73100,X-ray exam of wrist
73110,X-ray exam of wrist
73115,Contrast x-ray of wrist
73120,X-ray exam of hand
73130,X-ray exam of hand
73140,X-ray exam of finger(s)
73200,Ct upper extremity w/o dye
73201,Ct upper extremity w/dye
73202,Ct uppr extremity w/o&w/dye
73206,Ct angio upr extrm w/o&w/dye
73218,Mri upper extremity w/o dye
73219,Mri upper extremity w/dye
73220,Mri uppr extremity w/o&w/dye
73221,Mri joint upr extrem w/o dye
73222,Mri joint upr extrem w/dye
73223,Mri joint upr extr w/o&w/dye
73225,Mr angio upr extr w/o&w/dye
73501,X-ray exam hip uni 1 view
73502,X-ray exam hip uni 2-3 views
73503,X-ray exam hip uni 4/> views
73521,X-ray exam hips bi 2 views
73522,X-ray exam hips bi 3-4 views
73523,X-ray exam hips bi 5/> views
73525,Contrast x-ray of hip
73551,X-ray exam of femur 1
73552,X-ray exam of femur 2/>
73560,X-ray exam of knee 1 or 2
73562,X-ray exam of knee 3
73564,X-ray exam knee 4 or more
73565,X-ray exam of knees
73580,Contrast x-ray of knee joint
73590,X-ray exam of lower leg
73592,X-ray exam of leg infant
73600,X-ray exam of ankle
73610,X-ray exam of ankle
73615,Contrast x-ray of ankle
73620,X-ray exam of foot
73630,X-ray exam of foot
73650,X-ray exam of heel
73660,X-ray exam of toe(s)
73700,Ct lower extremity w/o dye
73701,Ct lower extremity w/dye
73702,Ct lwr extremity w/o&w/dye
73706,Ct angio lwr extr w/o&w/dye
73718,Mri lower extremity w/o dye
73719,Mri lower extremity w/dye
73720,Mri lwr extremity w/o&w/dye
73721,Mri jnt of lwr extre w/o dye
73722,Mri joint of lwr extr w/dye
73723,Mri joint lwr extr w/o&w/dye
73725,Mr ang lwr ext w or w/o dye
74018,X-ray exam abdomen 1 view
74019,X-ray exam abdomen 2 views
74021,X-ray exam abdomen 3+ views
74022,X-ray exam complete abdomen
74150,Ct abdomen w/o dye
74160,Ct abdomen w/dye
74170,Ct abdomen w/o & w/dye
74174,Ct angio abd&pelv w/o&w/dye
74175,Ct angio abdom w/o & w/dye
74176,Ct abd & pelvis w/o contrast
74177,Ct abd & pelv w/contrast
74178,Ct abd & pelv 1/> regns
74181,Mri abdomen w/o dye
74182,Mri abdomen w/dye
74183,Mri abdomen w/o & w/dye
74185,Mri angio abdom w orw/o dye
74190,X-ray exam of peritoneum
74210,X-ray xm phrnx&/crv esoph c+
74220,X-ray xm esophagus 1cntrst
74221,X-ray xm esophagus 2cntrst
74230,X-ray xm swlng funcj c+
74235,Remove esophagus obstruction
74240,X-ray xm upr gi trc 1cntrst
74246,X-ray xm upr gi trc 2cntrst
74248,X-ray sm int f-thru std
74250,X-ray xm sm int 1cntrst std
74251,X-ray xm sm int 2cntrst std
74261,Ct colonography dx
74262,Ct colonography dx w/dye
74263,Ct colonography screening
74270,X-ray xm colon 1cntrst std
74280,X-ray xm colon 2cntrst std
74283,Ther nma rdctj intus/obstrcj
74290,Contrast x-ray gallbladder
74300,X-ray bile ducts/pancreas
74301,X-rays at surgery add-on
74328,X-ray bile duct endoscopy
74329,X-ray for pancreas endoscopy
74330,X-ray bile/panc endoscopy
74340,X-ray guide for gi tube
74355,X-ray guide intestinal tube
74360,X-ray guide gi dilation
74363,X-ray bile duct dilation
74400,Urography iv +-kub tomog
74410,Urography nfs drip&/bolus
74415,Urography nfs drip&/bls w/nf
74420,Urography rtrgr +-kub
74425,Urography antegrade rs&i
74430,Contrast x-ray bladder
74440,X-ray male genital tract
74445,X-ray exam of penis
74450,X-ray urethra/bladder
74455,X-ray urethra/bladder
74470,X-ray exam of kidney lesion
74485,Dilation urtr/urt rs&i
74712,Mri fetal sngl/1st gestation
74713,Mri fetal ea addl gestation
74740,X-ray female genital tract
74742,X-ray fallopian tube
74775,X-ray exam of perineum
75557,Cardiac mri for morph
75559,Cardiac mri w/stress img
75561,Cardiac mri for morph w/dye
75563,Card mri w/stress img & dye
75565,Card mri veloc flow mapping
75571,Ct hrt w/o dye w/ca test
75572,Ct hrt w/3d image
75573,Ct hrt c+ strux cgen hrt ds
75574,Ct angio hrt w/3d image
75580,N-invas est c ffr sw aly cta
75600,Contrast exam thoracic aorta
75605,Contrast exam thoracic aorta
75625,Contrast exam abdominl aorta
75630,X-ray aorta leg arteries
75635,Ct angio abdominal arteries
75705,Artery x-rays spine
75710,Artery x-rays arm/leg
75716,Artery x-rays arms/legs
75726,Artery x-rays abdomen
75731,Artery x-rays adrenal gland
75733,Artery x-rays adrenals
75736,Artery x-rays pelvis
75741,Artery x-rays lung
75743,Artery x-rays lungs
75746,Artery x-rays lung
75756,Artery x-rays chest
75774,Artery x-ray each vessel
75801,Lymph vessel x-ray arm/leg
75803,Lymph vessel x-ray arms/legs
75805,Lymph vessel x-ray trunk
75807,Lymph vessel x-ray trunk
75809,Nonvascular shunt x-ray
75810,Vein x-ray spleen/liver
75820,Vein x-ray arm/leg
75822,Vein x-ray arms/legs
75825,Vein x-ray trunk
75827,Vein x-ray chest
75831,Vein x-ray kidney
75833,Vein x-ray kidneys
75840,Vein x-ray adrenal gland
75842,Vein x-ray adrenal glands
75860,Vein x-ray neck
75870,Vein x-ray skull
75872,Vein x-ray skull epidural
75880,Vein x-ray eye socket
75885,Vein x-ray liver w/hemodynam
75887,Vein x-ray liver w/o hemodyn
75889,Vein x-ray liver w/hemodynam
75891,Vein x-ray liver
75893,Venous sampling by catheter
75894,X-rays transcath therapy
75898,Follow-up angiography
75901,Remove cva device obstruct
75902,Remove cva lumen obstruct
75956,Xray endovasc thor ao repr
75957,Xray endovasc thor ao repr
75958,Xray place prox ext thor ao
75959,Xray place dist ext thor ao
75970,Vascular biopsy
75984,Xray control catheter change
75989,Abscess drainage under x-ray
76000,Fluoroscopy <1 hr phys/qhp
76010,X-ray nose to rectum
76080,X-ray exam of fistula
76098,X-ray exam surgical specimen
76100,X-ray exam of body section
76120,Cine/video x-rays
76125,Cine/video x-rays add-on
76140,X-ray consultation
76145,Med physic dos eval rad exps
76376,3d render w/intrp postproces
76377,3d render w/intrp postproces
76380,Cat scan follow-up study
76390,Mr spectroscopy
76391,Mr elastography
76496,Unlisted fluoroscopic px
76497,Unlisted ct procedure
76498,Unlisted mr procedure
76499,Unlisted dx radiographic px
76506,Echo exam of head
76510,Oph us dx b-scan&quan a-scan
76511,Oph us dx quan a-scan only
76512,Oph us dx b-scan
76513,Oph us dx ant sgm us uni/bi
76514,Echo exam of eye thickness
76516,Echo exam of eye
76519,Echo exam of eye
76529,Echo exam of eye
76536,Us exam of head and neck
76604,Us exam chest
76641,Ultrasound breast complete
76642,Ultrasound breast limited
76700,Us exam abdom complete
76705,Echo exam of abdomen
76706,Us abdl aorta screen aaa
76770,Us exam abdo back wall comp
76775,Us exam abdo back wall lim
76776,Us exam k transpl w/doppler
76800,Us exam spinal canal
76801,Ob us < 14 wks single fetus
76802,Ob us < 14 wks addl fetus
76805,Ob us >= 14 wks sngl fetus
76810,Ob us >= 14 wks addl fetus
76811,Ob us detailed sngl fetus
76812,Ob us detailed addl fetus
76813,Ob us nuchal meas 1 gest
76814,Ob us nuchal meas add-on
76815,Ob us limited fetus(s)
76816,Ob us follow-up per fetus
76817,Transvaginal us obstetric
76818,Fetal biophys profile w/nst
76819,Fetal biophys profil w/o nst
76820,Umbilical artery echo
76821,Middle cerebral artery echo
76825,Echo exam of fetal heart
76826,Echo exam of fetal heart
76827,Echo exam of fetal heart
76828,Echo exam of fetal heart
76830,Transvaginal us non-ob
76831,Echo exam uterus
76856,Us exam pelvic complete
76857,Us exam pelvic limited
76870,Us exam scrotum
76872,Us transrectal
76873,Echograp trans r pros study
76881,Us compl joint r-t w/img
76882,Us lmtd jt/fcl evl nvasc xtr
76883,Us nrv&acc strux 1xtr compre
76885,Us exam infant hips dynamic
76886,Us exam infant hips static
76932,Echo guide for heart biopsy
76936,Echo guide for artery repair
76937,Us guide vascular access
76940,Us guide tissue ablation
76941,Echo guide for transfusion
76942,Echo guide for biopsy
76945,Echo guide villus sampling
76946,Echo guide for amniocentesis
76948,Echo guide ova aspiration
76965,Echo guidance radiotherapy
76975,Gi endoscopic ultrasound
76977,Us bone density measure
76978,Us trgt dyn mbubb 1st les
76979,Us trgt dyn mbubb ea addl
76981,Use parenchyma
76982,Use 1st target lesion
76983,Use ea addl target lesion
76984,Dx intraop thoracic aorta us
76987,Dx intraop epicar car us chd
76988,Dx ntrop epcr us chd img acq
76989,Dx intraop epcar us chd i&r
76998,Us guide intraop
76999,Echo examination procedure
77001,Fluoroguide for vein device
77002,Needle localization by xray
77003,Fluoroguide for spine inject
77011,Ct scan for localization
77012,Ct scan for needle biopsy
77013,Ct guide for tissue ablation
77014,Ct scan for therapy guide
77021,Mri guidance ndl plmt rs&i
77022,Mri gdn parnchyma tiss abltj
77046,Mri breast c- unilateral
77047,Mri breast c- bilateral
77048,Mri breast c-+ w/cad uni
77049,Mri breast c-+ w/cad bi
77053,X-ray of mammary duct
77054,X-ray of mammary ducts
77061,Breast tomosynthesis uni
77062,Breast tomosynthesis bi
77063,Breast tomosynthesis bi
77065,Dx mammo incl cad uni
77066,Dx mammo incl cad bi
77067,Scr mammo bi incl cad
77071,X-ray stress view
77072,X-rays for bone age
77073,X-rays bone length studies
77074,X-rays bone survey limited
77075,X-rays bone survey complete
77076,X-rays bone survey infant
77077,Joint survey single view
77078,Ct bone density axial
77080,Dxa bone density axial
77081,Dxa bone density/peripheral
77084,Magnetic image bone marrow
77085,Dxa bone density study
77086,Fracture assessment via dxa
77089,Tbs dxa cal w/i&r fx risk
77090,Tbs techl prep&transmis data
77091,Tbs techl calculation only
77092,Tbs i&r fx rsk qhp
77261,Radiation therapy planning
77262,Radiation therapy planning
77263,Radiation therapy planning
77280,Set radiation therapy field
77285,Set radiation therapy field
77290,Set radiation therapy field
77293,Respirator motion mgmt simul
77295,3-d radiotherapy plan
77299,Unlisted px ther rad tx plng
77300,Radiation therapy dose plan
77301,Radiotherapy dose plan imrt
77306,Telethx isodose plan simple
77307,Telethx isodose plan cplx
77316,Brachytx isodose plan simple
77317,Brachytx isodose intermed
77318,Brachytx isodose complex
77321,Special teletx port plan
77331,Special radiation dosimetry
77332,Radiation treatment aid(s)
77333,Radiation treatment aid(s)
77334,Radiation treatment aid(s)
77336,Radiation physics consult
77338,Design mlc device for imrt
77370,Radiation physics consult
77371,Srs multisource
77372,Srs linear based
77373,Sbrt delivery
77385,Ntsty modul rad tx dlvr smpl
77386,Ntsty modul rad tx dlvr cplx
77387,Guidance for radj tx dlvr
77399,Unlisted px med radj physics
77401,Radiation treatment delivery
77402,Radiation treatment delivery
77407,Radiation treatment delivery
77412,Radiation treatment delivery
77417,Radiology port images(s)
77423,Neutron beam tx complex
77424,Io rad tx delivery by x-ray
77425,Io rad tx deliver by elctrns
77427,Radiation tx management x5
77431,Radiation therapy management
77432,Stereotactic radiation trmt
77435,Sbrt management
77469,Io radiation tx management
77470,Special radiation treatment
77499,Unlisted px ther rad tx mgmt
77520,Proton trmt simple w/o comp
77522,Proton trmt simple w/comp
77523,Proton trmt intermediate
77525,Proton treatment complex
77600,Hyperthermia treatment
77605,Hyperthermia treatment
77610,Hyperthermia treatment
77615,Hyperthermia treatment
77620,Hyperthermia treatment
77750,Infuse radioactive materials
77761,Apply intrcav radiat simple
77762,Apply intrcav radiat interm
77763,Apply intrcav radiat compl
77767,Hdr rdncl skn surf brachytx
77768,Hdr rdncl skn surf brachytx
77770,Hdr rdncl ntrstl/icav brchtx
77771,Hdr rdncl ntrstl/icav brchtx
77772,Hdr rdncl ntrstl/icav brchtx
77778,Apply interstit radiat compl
77789,Apply surf ldr radionuclide
77790,Radiation handling
77799,Unlisted px clin brachytx
78012,Thyroid uptake measurement
78013,Thyroid imaging w/blood flow
78014,Thyroid imaging w/blood flow
78015,Thyroid met imaging
78016,Thyroid met imaging/studies
78018,Thyroid met imaging body
78020,Thyroid met uptake
78070,Parathyroid planar imaging
78071,Parathyrd planar w/wo subtrj
78072,Parathyrd planar w/spect&ct
78075,Adrenal cortex & medulla img
78099,Unlisted endocrine px dx nuc
78102,Bone marrow imaging ltd
78103,Bone marrow imaging mult
78104,Bone marrow imaging body
78110,Plasma volume single
78111,Plasma volume multiple
78120,Red cell mass single
78121,Red cell mass multiple
78122,Blood volume
78130,Red cell survival study
78140,Red cell sequestration
78185,Spleen imaging
78191,Platelet survival
78195,Lymph system imaging
78199,Unlstd hematop ret/endo lymp
78201,Liver imaging
78202,Liver imaging with flow
78215,Liver and spleen imaging
78216,Liver & spleen image/flow
78226,Hepatobiliary system imaging
78227,Hepatobil syst image w/drug
78230,Salivary gland imaging
78231,Serial salivary imaging
78232,Salivary gland function exam
78258,Esophageal motility study
78261,Gastric mucosa imaging
78262,Gastroesophageal reflux exam
78264,Gastric emptying imag study
78265,Gastric emptying imag study
78266,Gastric emptying imag study
78267,Breath tst attain/anal c-14
78268,Breath test analysis c-14
78278,Acute gi blood loss imaging
78282,Gi protein loss exam
78290,Meckels divert exam
78291,Leveen/shunt patency exam
78299,Unlisted gi px dx nuc med
78300,Bone imaging limited area
78305,Bone imaging multiple areas
78306,Bone imaging whole body
78315,Bone imaging 3 phase
78350,Bone mineral single photon
78351,Bone mineral dual photon
78399,Unlisted muscskel px dx nuc
78414,Non-imaging heart function
78428,Cardiac shunt imaging
78429,Myocrd img pet 1 std w/ct
78430,Myocrd img pet rst/strs w/ct
78431,Myocrd img pet rst&strs ct
78432,Myocrd img pet 2rtracer
78433,Myocrd img pet 2rtracer ct
78434,Aqmbf pet rest & rx stress
78445,Vascular flow imaging
78451,Ht muscle image spect sing
78452,Ht muscle image spect mult
78453,Ht muscle image planar sing
78454,Ht musc image planar mult
78456,Acute venous thrombus image
78457,Venous thrombosis imaging
78458,Ven thrombosis images bilat
78459,Myocrd img pet single study
78466,Heart infarct image
78468,Heart infarct image (ef)
78469,Heart infarct image (3d)
78472,Gated heart planar single
78473,Gated heart multiple
78481,Heart first pass single
78483,Heart first pass multiple
78491,Myocrd img pet 1std rst/strs
78492,Myocrd img pet mlt rst&strs
78494,Heart image spect
78496,Heart first pass add-on
78499,Unlisted cv px dx nuc med
78579,Lung ventilation imaging
78580,Lung perfusion imaging
78582,Lung ventilat&perfus imaging
78597,Lung perfusion differential
78598,Lung perf&ventilat diferentl
78599,Unlisted resp px dx nuc med
78600,Brain image < 4 views
78601,Brain image w/flow < 4 views
78605,Brain image 4+ views
78606,Brain image w/flow 4 + views
78608,Brain imaging (pet)
78609,Brain imaging (pet)
78610,Brain flow imaging only
78630,Cerebrospinal fluid scan
78635,Csf ventriculography
78645,Csf shunt evaluation
78650,Csf leakage imaging
78660,Nuclear exam of tear flow
78699,Unlisted nrvs sys px dx nuc
78700,Kidney imaging morphol
78701,Kidney imaging with flow
78707,K flow/funct image w/o drug
78708,K flow/funct image w/drug
78709,K flow/funct image multiple
78725,Kidney function study
78730,Urinary bladder retention
78740,Ureteral reflux study
78761,Testicular imaging w/flow
78799,Unlisted gu px dx nuc med
78800,Rp loclzj tum 1 area 1 d img
78801,Rp loclzj tum 2+area 1+d img
78802,Rp loclzj tum whbdy 1 d img
78803,Rp loclzj tum spect 1 area
78804,Rp loclzj tum whbdy 2+d img
78808,Iv inj ra drug dx study
78811,Pet image ltd area
78812,Pet image skull-thigh
78813,Pet image full body
78814,Pet image w/ct lmtd
78815,Pet image w/ct skull-thigh
78816,Pet image w/ct full body
78830,Rp loclzj tum spect w/ct 1
78831,Rp loclzj tum spect 2 areas
78832,Rp loclzj tum spect w/ct 2
78835,Rp quan meas single area
78999,Unlisted misc px dx nuc med
79005,Nuclear rx oral admin
79101,Nuclear rx iv admin
79200,Nuclear rx intracav admin
79300,Nuclr rx interstit colloid
79403,Hematopoietic nuclear tx
79440,Nuclear rx intra-articular
79445,Nuclear rx intra-arterial
79999,Rp therapy unlisted px
80047,Metabolic panel ionized ca
80048,Metabolic panel total ca
80050,General health panel
80051,Electrolyte panel
80053,Comprehen metabolic panel
80055,Obstetric panel
80061,Lipid panel
80069,Renal function panel
80074,Acute hepatitis panel
80076,Hepatic function panel
80081,Obstetric panel
80143,Drug assay acetaminophen
80145,Drug assay adalimumab
80150,Assay of amikacin
80151,Drug assay amiodarone
80155,Drug assay caffeine
80156,Assay carbamazepine total
80157,Assay carbamazepine free
80158,Drug assay cyclosporine
80159,Drug assay clozapine
80161,"Asy carbamazepin 10,11-epxid"
80162,Assay of digoxin total
80163,Assay of digoxin free
80164,Assay dipropylacetic acd tot
80165,Dipropylacetic acid free
80167,Drug assay felbamate
80168,Assay of ethosuximide
80169,Drug assay everolimus
80170,Assay of gentamicin
80171,Drug screen quant gabapentin
80173,Assay of haloperidol
80175,Drug screen quan lamotrigine
80176,Assay of lidocaine
80177,Drug scrn quan levetiracetam
80178,Assay of lithium
80179,Drug assay salicylate
80180,Drug scrn quan mycophenolate
80181,Drug assay flecainide
80183,Drug scrn quant oxcarbazepin
80184,Assay of phenobarbital
80185,Assay of phenytoin total
80186,Assay of phenytoin free
80187,Drug assay posaconazole
80188,Assay of primidone
80189,Drug assay itraconazole
80190,Assay of procainamide
80192,Assay of procainamide
80193,Drug assay leflunomide
80194,Assay of quinidine
80195,Assay of sirolimus
80197,Assay of tacrolimus
80198,Assay of theophylline
80199,Drug screen quant tiagabine
80200,Assay of tobramycin
80201,Assay of topiramate
80202,Assay of vancomycin
80203,Drug screen quant zonisamide
80204,Drug assay methotrexate
80210,Drug assay rufinamide
80220,Drug asy hydroxychloroquine
80230,Drug assay infliximab
80235,Drug assay lacosamide
80280,Drug assay vedolizumab
80285,Drug assay voriconazole
80299,Quantitative assay drug
80305,Drug test prsmv dir opt obs
80306,Drug test prsmv instrmnt
80307,Drug test prsmv chem anlyzr
80320,Drug screen quantalcohols
80321,Alcohols biomarkers 1or 2
80322,Alcohols biomarkers 3/more
80323,Alkaloids nos
80324,Drug screen amphetamines 1/2
80325,Amphetamines 3or 4
80326,Amphetamines 5 or more
80327,Anabolic steroid 1 or 2
80328,Anabolic steroid 3 or more
80329,Analgesics non-opioid 1 or 2
80330,Analgesics non-opioid 3-5
80331,Analgesics non-opioid 6/more
80332,Antidepressants class 1 or 2
80333,Antidepressants class 3-5
80334,Antidepressants class 6/more
80335,Antidepressant tricyclic 1/2
80336,Antidepressant tricyclic 3-5
80337,Tricyclic & cyclicals 6/more
80338,Antidepressant not specified
80339,Antiepileptics nos 1-3
80340,Antiepileptics nos 4-6
80341,Antiepileptics nos 7/more
80342,Antipsychotics nos 1-3
80343,Antipsychotics nos 4-6
80344,Antipsychotics nos 7/more
80345,Drug screening barbiturates
80346,Benzodiazepines1-12
80347,Benzodiazepines 13 or more
80348,Drug screening buprenorphine
80349,Cannabinoids natural
80350,Cannabinoids synthetic 1-3
80351,Cannabinoids synthetic 4-6
80352,Cannabinoid synthetic 7/more
80353,Drug screening cocaine
80354,Drug screening fentanyl
80355,Gabapentin non-blood
80356,Heroin metabolite
80357,Ketamine and norketamine
80358,Drug screening methadone
80359,Methylenedioxyamphetamines
80360,Methylphenidate
80361,Opiates 1 or more
80362,Opioids & opiate analogs 1/2
80363,Opioids & opiate analogs 3/4
80364,Opioid &opiate analog 5/more
80365,Drug screening oxycodone
80366,Drug screening pregabalin
80367,Drug screening propoxyphene
80368,Sedative hypnotics
80369,Skeletal muscle relaxant 1/2
80370,Skel musc relaxant 3 or more
80371,Stimulants synthetic
80372,Drug screening tapentadol
80373,Drug screening tramadol
80374,Stereoisomer analysis
80375,Drug/substance nos 1-3
80376,Drug/substance nos 4-6
80377,Drug/substance nos 7/more
80400,Acth stimulation panel
80402,Acth stimulation panel
80406,Acth stimulation panel
80408,Aldosterone suppression eval
80410,Calcitonin stimul panel
80412,Crh stimulation panel
80414,Testosterone response panel
80415,Tot estradiol response panel
80416,Renin stimulation panel
80417,Renin stimulation panel
80418,Pituitary evaluation panel
80420,Dexamethasone panel
80422,Glucagon tolerance panel
80424,Glucagon tolerance panel
80426,Gonadotropin hormone panel
80428,Growth hormone panel
80430,Growth hormone panel
80432,Insulin suppression panel
80434,Insulin tolerance panel
80435,Insulin tolerance panel
80436,Metyrapone panel
80438,Trh stimulation panel
80439,Trh stimulation panel
80503,Path clin consltj sf 5-20
80504,Path clin consltj mod 21-40
80505,Path clin consltj high 41-60
80506,Path clin consltj prolng svc
81000,Urinalysis nonauto w/scope
81001,Urinalysis auto w/scope
81002,Urinalysis nonauto w/o scope
81003,Urinalysis auto w/o scope
81005,Urinalysis
81007,Urine screen for bacteria
81015,Microscopic exam of urine
81020,Urinalysis glass test
81025,Urine pregnancy test
81050,Urinalysis volume measure
81099,Unlisted urinalysis px
81105,Hpa-1 genotyping
81106,Hpa-2 genotyping
81107,Hpa-3 genotyping
81108,Hpa-4 genotyping
81109,Hpa-5 genotyping
81110,Hpa-6 genotyping
81111,Hpa-9 genotyping
81112,Hpa-15 genotyping
81120,Idh1 common variants
81121,Idh2 common variants
81161,Dmd dup/delet analysis
81162,Brca1&2 gen full seq dup/del
81163,Brca1&2 gene full seq alys
81164,Brca1&2 gen ful dup/del alys
81165,Brca1 gene full seq alys
81166,Brca1 gene full dup/del alys
81167,Brca2 gene full dup/del alys
81168,Ccnd1/igh translocation alys
81170,Abl1 gene
81171,Aff2 gen aly detc abnl allel
81172,Aff2 gen alys charac alleles
81173,Ar gene full gene sequence
81174,Ar gene known famil variant
81175,Asxl1 full gene sequence
81176,Asxl1 gene target seq alys
81177,Atn1 gene detc abnor alleles
81178,Atxn1 gene detc abnor allele
81179,Atxn2 gene detc abnor allele
81180,Atxn3 gene detc abnor allele
81181,Atxn7 gene detc abnor allele
81182,Atxn8os gen detc abnor allel
81183,Atxn10 gene detc abnor allel
81184,Cacna1a gen detc abnor allel
81185,Cacna1a gene full gene seq
81186,Cacna1a gen known famil vrnt
81187,Cnbp gene detc abnor allele
81188,Cstb gene detc abnor allele
81189,Cstb gene full gene sequence
81190,Cstb gene known famil vrnt
81191,Ntrk1 translocation analysis
81192,Ntrk2 translocation analysis
81193,Ntrk3 translocation analysis
81194,Ntrk translocation analysis
81200,Aspa gene
81201,Apc gene full sequence
81202,Apc gene known fam variants
81203,Apc gene dup/delet variants
81204,Ar gene charac alleles
81205,Bckdhb gene
81206,Bcr/abl1 gene major bp
81207,Bcr/abl1 gene minor bp
81208,Bcr/abl1 gene other bp
81209,Blm gene
81210,Braf gene
81212,Brca1&2 185&5385&6174 vrnt
81215,Brca1 gene known famil vrnt
81216,Brca2 gene full seq alys
81217,Brca2 gene known famil vrnt
81218,Cebpa gene full sequence
81219,Calr gene com variants
81220,Cftr gene com variants
81221,Cftr gene known fam variants
81222,Cftr gene dup/delet variants
81223,Cftr gene full sequence
81224,Cftr gene intron poly t
81225,Cyp2c19 gene com variants
81226,Cyp2d6 gene com variants
81227,Cyp2c9 gene com variants
81228,Cytog alys chrml abnr cgh
81229,Cytog alys chrml abnr snpcgh
81230,Cyp3a4 gene common variants
81231,Cyp3a5 gene common variants
81232,Dpyd gene common variants
81233,Btk gene common variants
81234,Dmpk gene detc abnor allele
81235,Egfr gene com variants
81236,Ezh2 gene full gene sequence
81237,Ezh2 gene common variants
81238,F9 full gene sequence
81239,Dmpk gene charac alleles
81240,F2 gene
81241,F5 gene
81242,Fancc gene
81243,Fmr1 gen aly detc abnl allel
81244,Fmr1 gen alys charac alleles
81245,Flt3 gene
81246,Flt3 gene analysis
81247,G6pd gene alys cmn variant
81248,G6pd known familial variant
81249,G6pd full gene sequence
81250,G6pc gene
81251,Gba gene
81252,Gjb2 gene full sequence
81253,Gjb2 gene known fam variants
81254,Gjb6 gene com variants
81255,Hexa gene
81256,Hfe gene
81257,Hba1/hba2 gene
81258,Hba1/hba2 gene fam vrnt
81259,Hba1/hba2 full gene sequence
81260,Ikbkap gene
81261,Igh gene rearrange amp meth
81262,Igh gene rearrang dir probe
81263,Igh vari regional mutation
81264,Igk rearrangeabn clonal pop
81265,Str markers specimen anal
81266,Str markers spec anal addl
81267,Chimerism anal no cell selec
81268,Chimerism anal w/cell select
81269,Hba1/hba2 gene dup/del vrnts
81270,Jak2 gene
81271,Htt gene detc abnor alleles
81272,Kit gene targeted seq analys
81273,Kit gene analys d816 variant
81274,Htt gene charac alleles
81275,Kras gene variants exon 2
81276,Kras gene addl variants
81277,Cytogenomic neo microra alys
81278,Igh@/bcl2 translocation alys
81279,Jak2 gene trgt sequence alys
81283,Ifnl3 gene
81284,Fxn gene detc abnor alleles
81285,Fxn gene charac alleles
81286,Fxn gene full gene sequence
81287,Mgmt gene prmtr mthyltn alys
81288,Mlh1 gene
81289,Fxn gene known famil variant
81290,Mcoln1 gene
81291,Mthfr gene
81292,Mlh1 gene full seq
81293,Mlh1 gene known variants
81294,Mlh1 gene dup/delete variant
81295,Msh2 gene full seq
81296,Msh2 gene known variants
81297,Msh2 gene dup/delete variant
81298,Msh6 gene full seq
81299,Msh6 gene known variants
81300,Msh6 gene dup/delete variant
81301,Microsatellite instability
81302,Mecp2 gene full seq
81303,Mecp2 gene known variant
81304,Mecp2 gene dup/delet variant
81305,Myd88 gene p.leu265pro vrnt
81306,Nudt15 gene common variants
81307,Palb2 gene full gene seq
81308,Palb2 gene known famil vrnt
81309,Pik3ca gene trgt seq alys
81310,Npm1 gene
81311,Nras gene variants exon 2&3
81312,Pabpn1 gene detc abnor allel
81313,Pca3/klk3 antigen
81314,Pdgfra gene
81315,Pml/raralpha com breakpoints
81316,Pml/raralpha 1 breakpoint
81317,Pms2 gene full seq analysis
81318,Pms2 known familial variants
81319,Pms2 gene dup/delet variants
81320,Plcg2 gene common variants
81321,Pten gene full sequence
81322,Pten gene known fam variant
81323,Pten gene dup/delet variant
81324,Pmp22 gene dup/delet
81325,Pmp22 gene full sequence
81326,Pmp22 gene known fam variant
81327,Sept9 gen prmtr mthyltn alys
81328,Slco1b1 gene com variants
81329,Smn1 gene dos/deletion alys
81330,Smpd1 gene common variants
81331,Snrpn/ube3a gene
81332,Serpina1 gene
81333,Tgfbi gene common variants
81334,Runx1 gene targeted seq alys
81335,Tpmt gene com variants
81336,Smn1 gene full gene sequence
81337,Smn1 gen nown famil seq vrnt
81338,Mpl gene common variants
81339,Mpl gene seq alys exon 10
81340,Trb@ gene rearrange amplify
81341,Trb@ gene rearrange dirprobe
81342,Trg gene rearrangement anal
81343,Ppp2r2b gen detc abnor allel
81344,Tbp gene detc abnor alleles
81345,Tert gene targeted seq alys
81346,Tyms gene com variants
81347,Sf3b1 gene common variants
81348,Srsf2 gene common variants
81349,Cytog alys chrml abnr lw-ps
81350,Ugt1a1 gene common variants
81351,Tp53 gene full gene sequence
81352,Tp53 gene trgt sequence alys
81353,Tp53 gene known famil vrnt
81355,Vkorc1 gene
81357,U2af1 gene common variants
81360,Zrsr2 gene common variants
81361,Hbb gene com variants
81362,Hbb gene known fam variant
81363,Hbb gene dup/del variants
81364,Hbb full gene sequence
81370,Hla i & ii typing lr
81371,Hla i & ii type verify lr
81372,Hla i typing complete lr
81373,Hla i typing 1 locus lr
81374,Hla i typing 1 antigen lr
81375,Hla ii typing ag equiv lr
81376,Hla ii typing 1 locus lr
81377,Hla ii type 1 ag equiv lr
81378,Hla i & ii typing hr
81379,Hla i typing complete hr
81380,Hla i typing 1 locus hr
81381,Hla i typing 1 allele hr
81382,Hla ii typing 1 loc hr
