"icd_10_pcs","description","ccs_code_and_description","specialty_cohort"
"0TRB77Z","Replacement of Bladder with Autologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRB7JZ","Replacement of Bladder with Synthetic Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRB7KZ","Replacement of Bladder with Nonautologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRB87Z","Replacement of Bladder with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRB8JZ","Replacement of Bladder with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRB8KZ","Replacement of Bladder with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC07Z","Replacement of Bladder Neck with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC0JZ","Replacement of Bladder Neck with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC0KZ","Replacement of Bladder Neck with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC47Z","Replacement of Bladder Neck with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC4JZ","Replacement of Bladder Neck with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC4KZ","Replacement of Bladder Neck with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC77Z","Replacement of Bladder Neck with Autologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC7JZ","Replacement of Bladder Neck with Synthetic Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC7KZ","Replacement of Bladder Neck with Nonautologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC87Z","Replacement of Bladder Neck with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC8JZ","Replacement of Bladder Neck with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TRC8KZ","Replacement of Bladder Neck with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS00ZZ","Reposition Right Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS04ZZ","Reposition Right Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS10ZZ","Reposition Left Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS14ZZ","Reposition Left Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS20ZZ","Reposition Bilateral Kidneys, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS24ZZ","Reposition Bilateral Kidneys, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS30ZZ","Reposition Right Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS34ZZ","Reposition Right Kidney Pelvis, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS40ZZ","Reposition Left Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS44ZZ","Reposition Left Kidney Pelvis, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS60ZZ","Reposition Right Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS64ZZ","Reposition Right Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS70ZZ","Reposition Left Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS74ZZ","Reposition Left Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS80ZZ","Reposition Bilateral Ureters, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TS84ZZ","Reposition Bilateral Ureters, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TSB0ZZ","Reposition Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TSB4ZZ","Reposition Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TSC0ZZ","Reposition Bladder Neck, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TSC4ZZ","Reposition Bladder Neck, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TT60ZZ","Resection of Right Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TT64ZZ","Resection of Right Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TT67ZZ","Resection of Right Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TT68ZZ","Resection of Right Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TT70ZZ","Resection of Left Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TT74ZZ","Resection of Left Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TT77ZZ","Resection of Left Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TT78ZZ","Resection of Left Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TTB0ZZ","Resection of Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TTB4ZZ","Resection of Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TTB7ZZ","Resection of Bladder, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TTB8ZZ","Resection of Bladder, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TTC0ZZ","Resection of Bladder Neck, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TTC4ZZ","Resection of Bladder Neck, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TTC7ZZ","Resection of Bladder Neck, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TTC8ZZ","Resection of Bladder Neck, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU307Z","Supplement Right Kidney Pelvis with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU30JZ","Supplement Right Kidney Pelvis with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU30KZ","Supplement Right Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU347Z","Supplement Right Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU34JZ","Supplement Right Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU34KZ","Supplement Right Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU377Z","Supplement Right Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU37JZ","Supplement Right Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU37KZ","Supplement Right Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU387Z","Supplement Right Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU38JZ","Supplement Right Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU38KZ","Supplement Right Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU407Z","Supplement Left Kidney Pelvis with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU40JZ","Supplement Left Kidney Pelvis with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU40KZ","Supplement Left Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU447Z","Supplement Left Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU44JZ","Supplement Left Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU44KZ","Supplement Left Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU477Z","Supplement Left Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU47JZ","Supplement Left Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU47KZ","Supplement Left Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU487Z","Supplement Left Kidney Pelvis with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU48JZ","Supplement Left Kidney Pelvis with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU48KZ","Supplement Left Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU607Z","Supplement Right Ureter with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU60JZ","Supplement Right Ureter with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU60KZ","Supplement Right Ureter with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU647Z","Supplement Right Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU64JZ","Supplement Right Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU64KZ","Supplement Right Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU677Z","Supplement Right Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU67JZ","Supplement Right Ureter with Synthetic Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU67KZ","Supplement Right Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU687Z","Supplement Right Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU68JZ","Supplement Right Ureter with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU68KZ","Supplement Right Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU707Z","Supplement Left Ureter with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU70JZ","Supplement Left Ureter with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU70KZ","Supplement Left Ureter with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU747Z","Supplement Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU74JZ","Supplement Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU74KZ","Supplement Left Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU777Z","Supplement Left Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU77JZ","Supplement Left Ureter with Synthetic Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU77KZ","Supplement Left Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU787Z","Supplement Left Ureter with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU78JZ","Supplement Left Ureter with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TU78KZ","Supplement Left Ureter with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB07Z","Supplement Bladder with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB0JZ","Supplement Bladder with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB0KZ","Supplement Bladder with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB47Z","Supplement Bladder with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB4JZ","Supplement Bladder with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB4KZ","Supplement Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB77Z","Supplement Bladder with Autologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB7JZ","Supplement Bladder with Synthetic Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB7KZ","Supplement Bladder with Nonautologous Tissue Substitute, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB87Z","Supplement Bladder with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB8JZ","Supplement Bladder with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TUB8KZ","Supplement Bladder with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV30CZ","Restriction of Right Kidney Pelvis with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV30DZ","Restriction of Right Kidney Pelvis with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV30ZZ","Restriction of Right Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV33CZ","Restriction of Right Kidney Pelvis with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV33DZ","Restriction of Right Kidney Pelvis with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV33ZZ","Restriction of Right Kidney Pelvis, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV34CZ","Restriction of Right Kidney Pelvis with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV34DZ","Restriction of Right Kidney Pelvis with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV34ZZ","Restriction of Right Kidney Pelvis, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV37DZ","Restriction of Right Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV37ZZ","Restriction of Right Kidney Pelvis, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV38DZ","Restriction of Right Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV38ZZ","Restriction of Right Kidney Pelvis, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV40CZ","Restriction of Left Kidney Pelvis with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV40DZ","Restriction of Left Kidney Pelvis with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV40ZZ","Restriction of Left Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV43CZ","Restriction of Left Kidney Pelvis with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV43DZ","Restriction of Left Kidney Pelvis with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV43ZZ","Restriction of Left Kidney Pelvis, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV44CZ","Restriction of Left Kidney Pelvis with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV44DZ","Restriction of Left Kidney Pelvis with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV44ZZ","Restriction of Left Kidney Pelvis, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV47DZ","Restriction of Left Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV47ZZ","Restriction of Left Kidney Pelvis, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV48DZ","Restriction of Left Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV48ZZ","Restriction of Left Kidney Pelvis, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV60CZ","Restriction of Right Ureter with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV60DZ","Restriction of Right Ureter with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV60ZZ","Restriction of Right Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV63CZ","Restriction of Right Ureter with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV63DZ","Restriction of Right Ureter with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV63ZZ","Restriction of Right Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV64CZ","Restriction of Right Ureter with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV64DZ","Restriction of Right Ureter with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV64ZZ","Restriction of Right Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV67DZ","Restriction of Right Ureter with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV67ZZ","Restriction of Right Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV68DZ","Restriction of Right Ureter with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV68ZZ","Restriction of Right Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV70CZ","Restriction of Left Ureter with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV70DZ","Restriction of Left Ureter with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV70ZZ","Restriction of Left Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV73CZ","Restriction of Left Ureter with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV73DZ","Restriction of Left Ureter with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV73ZZ","Restriction of Left Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV74CZ","Restriction of Left Ureter with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV74DZ","Restriction of Left Ureter with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV74ZZ","Restriction of Left Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV77DZ","Restriction of Left Ureter with Intraluminal Device, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV77ZZ","Restriction of Left Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV78DZ","Restriction of Left Ureter with Intraluminal Device, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TV78ZZ","Restriction of Left Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB0CZ","Restriction of Bladder with Extraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB0DZ","Restriction of Bladder with Intraluminal Device, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB0ZZ","Restriction of Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB3CZ","Restriction of Bladder with Extraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB3DZ","Restriction of Bladder with Intraluminal Device, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB3ZZ","Restriction of Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB4CZ","Restriction of Bladder with Extraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TVB4DZ","Restriction of Bladder with Intraluminal Device, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
